Player,Nation,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Position_2,Position,League
Kevin Akpoguma,NGA,Hoffenheim,28,1995,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6,,Defender,Bundesliga
David Alaba,AUT,Real Madrid,31,1992,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,,Defender,La Liga
Luis Alberto,ESP,Lazio,30,1992,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28,,Midfielder,Serie A
Raúl Albiol,ESP,Villarreal,37,1985,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,,Defender,La Liga
Thiago Alcántara,ESP,Liverpool,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0,,Midfielder,Premier League
Carlos Alcaraz,ARG,Juventus,20,2002,4.2,165,155,10,7,2,1,1,2,1,0,0,0,143,0,3,,Midfielder,Serie A
Rubén Alcaraz,ESP,Cádiz,32,1991,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17,,Midfielder,La Liga
Omar Alderete,PAR,Getafe,26,1996,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,,Defender,La Liga
Iván Alejo,ESP,Cádiz,28,1995,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32,,Midfielder,La Liga
Carles Aleñá,ESP,Getafe,25,1998,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12,,Midfielder,La Liga
Trent Alexander-Arnold,ENG,Liverpool,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23,,Defender,Premier League
Aboubacar Ali,FRA,Strasbourg,17,2006,1.4,34,34,0,0,0,0,6,0,0,0,0,0,22,0,1,Forward,Midfielder,Ligue 1
Mohamed Ali Cho,FRA,Real Sociedad,19,2004,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,Midfielder,Forward,La Liga
Mohamed Ali Cho,FRA,Nice,19,2004,9.6,268,245,22,6,1,0,44,0,16,8,7,0,193,1,8,,Forward,Ligue 1
Faride Alidou,GER,Köln,22,2001,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17,Midfielder,Forward,Bundesliga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Nabil Alioui,FRA,Le Havre,24,1999,11.2,358,289,66,17,6,1,54,1,36,23,13,0,228,3,14,Forward,Midfielder,Ligue 1
Alisson,BRA,Liverpool,30,1992,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3,,Goalkeeper,Premier League
Tadeo Allende,ARG,Celta Vigo,24,1999,3.7,98,97,1,0,1,1,10,0,0,0,0,0,60,0,6,Forward,Midfielder,La Liga
Jim Allevinah,GAB,Clermont Foot,28,1995,20.7,743,675,65,2,1,0,47,57,1,0,0,0,589,3,17,Defender,Midfielder,Ligue 1
Domingos André Ribeiro Almeida,POR,Valencia,23,2000,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,Midfielder,Forward,La Liga
Miguel Almirón,PAR,Newcastle Utd,29,1994,21.5,801,788,10,2,5,0,24,7,1,0,0,0,668,3,16,,Forward,Premier League
Pontus Almqvist,SWE,Lecce,24,1999,23.4,478,472,6,2,1,0,21,3,1,1,0,0,351,0,19,Midfielder,Forward,Serie A
Marcos Alonso,ESP,Barcelona,32,1990,2.8,214,171,43,10,0,3,15,27,6,2,2,0,180,0,5,,Defender,La Liga
Adrià Altimira,ESP,Villarreal,22,2001,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,Midfielder,Defender,La Liga
Sergi Altimira,ESP,Betis,21,2001,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,,Midfielder,La Liga
Edson Álvarez,MEX,West Ham,25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14,,Midfielder,Premier League
Gastón Álvarez,URU,Getafe,23,2000,28.2,1017,878,138,35,0,10,25,101,0,0,0,0,754,1,17,,Defender,La Liga
Hugo Álvarez,ESP,Celta Vigo,20,2003,8.5,455,379,73,8,4,1,22,58,7,1,5,1,380,3,10,Defender,Midfielder,La Liga
Julián Álvarez,ARG,Manchester City,23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27,Forward,Midfielder,Premier League
Yeray Álvarez,ESP,Athletic Club,28,1995,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,,Defender,La Liga
Skelly Alvero,FRA,Lyon,21,2002,4.7,193,190,2,2,1,1,2,0,0,0,0,0,159,1,2,,Midfielder,Ligue 1
Skelly Alvero,FRA,Werder Bremen,21,2002,1.4,76,75,1,1,0,1,0,0,0,0,0,0,59,0,2,,Midfielder,Bundesliga
Papa Amadou Diallo,SEN,Metz,19,2004,9.9,257,255,2,1,2,0,14,1,0,0,0,0,167,0,7,,Forward,Ligue 1
Selim Amallah,MAR,Valencia,26,1996,6.7,164,162,2,0,2,0,4,0,0,0,0,0,120,0,5,Midfielder,Forward,La Liga
Amath,SEN,Mallorca,27,1996,4.4,113,110,2,1,2,0,7,1,0,0,0,0,76,1,4,Midfielder,Forward,La Liga
Lorenzo Amatucci,ITA,Fiorentina,19,2004,0.2,25,25,0,0,0,1,0,0,0,0,0,0,22,0,2,,Midfielder,Serie A
Jordan Amavi,FRA,Brest,29,1994,1.0,54,43,11,3,0,0,1,8,0,0,0,0,47,0,1,,Defender,Ligue 1
Zeki Amdouni,SUI,Burnley,22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19,,Forward,Premier League
Kelvin Amian,FRA,Nantes,25,1998,8.9,350,266,84,8,1,0,14,76,0,0,0,0,268,0,15,,Defender,Ligue 1
Bruno Amione,ARG,Hellas Verona,21,2002,6.4,273,267,6,4,0,1,1,2,0,0,0,0,217,0,3,,Defender,Serie A
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Michael Amir Murillo,PAN,Marseille,27,1996,11.1,602,517,84,13,0,1,16,71,0,0,0,0,492,1,10,,Defender,Ligue 1
Nadiem Amiri,GER,Mainz 05,26,1996,14.6,798,612,181,80,2,3,126,9,88,32,44,0,567,5,11,,Midfielder,Bundesliga
Nadiem Amiri,GER,Leverkusen,26,1996,1.0,100,98,2,1,0,0,1,0,1,0,0,0,92,0,2,,Midfielder,Bundesliga
Kofi Amoako,GER,Wolfsburg,18,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Bundesliga
Sofyan Amrabat,MAR,Manchester Utd,26,1996,10.4,664,642,21,10,0,8,7,11,0,0,0,0,578,1,10,Defender,Midfielder,Premier League
Joachim Andersen,DEN,Crystal Palace,27,1996,37.9,2209,2073,121,110,7,31,31,8,0,0,0,0,1731,15,22,,Defender,Premier League
Elliot Anderson,SCO,Newcastle Utd,20,2002,11.4,460,431,29,3,4,1,19,25,1,0,0,0,370,0,9,Forward,Midfielder,Premier League
Felipe Anderson,BRA,Lazio,30,1993,30.8,1336,1299,29,5,5,6,57,18,6,1,4,0,1012,8,63,Midfielder,Forward,Serie A
Benjamin André,FRA,Lille,32,1990,28.6,1919,1855,58,57,5,19,19,1,0,0,0,0,1598,6,34,,Midfielder,Ligue 1
Komnen Andrić,SRB,Clermont Foot,28,1995,1.9,59,54,5,0,0,0,1,0,0,0,0,0,45,0,0,,Forward,Ligue 1
Robert Andrich,GER,Leverkusen,28,1994,18.8,1494,1458,34,32,5,4,14,2,0,0,0,0,1346,2,10,Defender,Midfielder,Bundesliga
Miguel Ángel Rubio,ESP,Granada,25,1998,17.3,775,745,29,24,1,4,0,1,0,0,0,0,622,1,11,,Defender,La Liga
Angeliño,ESP,Roma,26,1997,12.7,715,610,101,12,0,4,53,87,2,1,0,0,546,4,11,,Defender,Serie A
Fabrizio Angileri,ARG,Getafe,29,1994,1.8,103,96,7,1,0,2,8,6,0,0,0,0,68,0,5,Midfielder,Defender,La Liga
Jaidon Anthony,ENG,Bournemouth,23,1999,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3,,Forward,Premier League
Waldemar Anton,GER,Stuttgart,27,1996,32.1,2624,2511,109,51,6,9,14,29,0,0,0,0,2330,4,16,,Defender,Bundesliga
Michail Antonio,JAM,West Ham,33,1990,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22,,Forward,Premier League
Antony,BRA,Manchester Utd,23,2000,14.7,595,570,22,7,3,1,16,15,0,0,0,0,468,3,23,,Forward,Premier League
Christopher Antwi-Adjei,GHA,Bochum,29,1994,13.5,454,343,108,1,1,1,55,106,0,0,0,0,274,3,21,Midfielder,Forward,Bundesliga
Houssem Aouar,ALG,Roma,25,1998,8.4,359,344,15,4,0,0,10,3,8,5,2,0,300,0,8,Forward,Midfielder,Serie A
Stredair Appuah,FRA,Nantes,19,2004,0.9,23,23,0,0,0,0,2,0,0,0,0,0,14,0,2,Midfielder,Forward,Ligue 1
Mauro Arambarri,URU,Getafe,27,1995,3.8,142,138,4,2,0,2,6,1,1,1,0,0,114,0,2,,Midfielder,La Liga
Jon Aramburu,VEN,Real Sociedad,21,2002,6.0,321,256,62,7,0,0,7,55,0,0,0,0,254,3,7,,Defender,La Liga
Asaf Arania,ISR,Darmstadt 98,17,2005,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0,,Midfielder,Bundesliga
Julian Araujo,MEX,Las Palmas,21,2001,16.2,831,694,135,19,0,2,23,116,0,0,0,0,680,2,14,,Defender,La Liga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Ronald Araújo,URU,Barcelona,24,1999,22.2,1641,1540,93,45,3,14,8,37,0,0,0,0,1458,8,6,,Defender,La Liga
Oliver Arblaster,ENG,Sheffield Utd,19,2004,10.5,438,406,29,13,0,2,7,0,6,3,0,0,349,3,8,,Midfielder,Premier League
Cameron Archer,ENG,Sheffield Utd,22,2001,20.4,332,310,22,0,2,1,5,0,0,0,0,0,266,0,15,Midfielder,Forward,Premier League
Cameron Archer,ENG,Aston Villa,22,2001,0.1,6,6,0,0,1,0,0,0,0,0,0,0,5,0,0,,Midfielder,Premier League
Alphonse Areola,FRA,West Ham,30,1993,30.0,867,555,307,88,0,2,0,0,0,0,0,0,562,5,0,,Goalkeeper,Premier League
Adu Ares,ESP,Athletic Club,21,2001,2.9,104,103,1,0,0,1,11,0,1,1,0,0,79,0,5,,Forward,La Liga
Jesús Areso,ESP,Osasuna,24,1999,29.6,1368,1033,332,20,1,6,110,311,0,0,0,0,1021,3,48,,Defender,La Liga
Simone Aresti,ITA,Cagliari,37,1986,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,Serie A
Matias Arezo,URU,Granada,20,2002,4.1,82,75,7,0,1,0,4,1,0,0,0,0,52,0,0,,Forward,La Liga
Iñigo Arguibide,ESP,Osasuna,18,2005,0.2,4,3,1,0,0,0,0,1,0,0,0,0,1,0,1,,Defender,La Liga
Yoël Armougom,FRA,Clermont Foot,25,1998,2.6,131,114,17,1,0,0,14,16,0,0,0,0,97,0,3,Midfielder,Defender,Ligue 1
José Arnaiz,ESP,Osasuna,28,1995,10.3,318,260,58,18,0,3,46,3,25,13,8,0,233,0,8,Midfielder,Forward,La Liga
Hákon Arnar Haraldsson,ISL,Lille,20,2003,14.3,549,525,21,6,3,4,7,4,2,1,0,0,451,3,13,Midfielder,Forward,Ligue 1
Marko Arnautović,AUT,Inter,34,1989,8.9,271,264,5,0,3,1,7,0,0,0,0,0,203,2,9,,Forward,Serie A
Maximilian Arnold,GER,Wolfsburg,29,1994,27.8,1582,1404,171,87,4,17,110,1,58,39,13,2,1285,7,19,,Midfielder,Bundesliga
Mohamed El Arouch,FRA,Lyon,19,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,Forward,Ligue 1
Sergio Arribas,ESP,Almería,21,2001,22.7,751,661,86,32,4,4,60,7,28,13,9,0,588,4,20,Forward,Midfielder,La Liga
Kepa Arrizabalaga,ESP,Real Madrid,28,1994,13.3,456,374,82,12,0,1,0,0,0,0,0,0,386,0,1,,Goalkeeper,La Liga
Arthur,BRA,Leverkusen,20,2003,2.0,109,96,13,0,0,0,7,12,1,0,0,0,88,0,3,,Defender,Bundesliga
Takuma Asano,JPN,Bochum,28,1994,22.1,397,383,12,1,1,0,37,2,1,0,0,0,262,2,26,Midfielder,Forward,Bundesliga
Marco Asensio,ESP,Paris S-G,27,1996,12.4,656,598,55,10,6,6,52,8,31,11,10,0,545,3,13,Forward,Midfielder,Ligue 1
Kristjan Asllani,ALB,Inter,21,2002,8.7,744,685,56,23,2,4,35,1,32,12,10,0,662,3,6,,Midfielder,Serie A
Joel Asoro,SWE,Metz,24,1999,9.4,147,136,10,4,0,0,19,1,2,2,0,0,94,1,10,Midfielder,Forward,Ligue 1
Jonathan Asp Jensen,DEN,Bayern Munich,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Bundesliga
Iago Aspas,ESP,Celta Vigo,35,1987,30.1,1305,1112,190,51,20,15,149,8,94,39,35,0,949,3,30,,Forward,La Liga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Lorenz Assignon,TOG,Burnley,23,2000,13.7,485,378,104,3,0,0,29,101,0,0,0,0,352,3,19,,Defender,Premier League
Lorenz Assignon,TOG,Rennes,23,2000,11.2,600,491,109,13,0,1,22,96,0,0,0,0,516,0,12,,Defender,Ligue 1
Youcef Atal,ALG,Nice,27,1996,4.0,238,215,22,6,2,0,6,16,0,0,0,0,214,1,1,,Defender,Ligue 1
Valentin Atangana Edoa,FRA,Reims,17,2005,6.2,179,171,7,1,0,0,5,6,0,0,0,0,155,1,3,,Midfielder,Ligue 1
Arthur Atta,FRA,Metz,20,2003,10.3,401,378,20,10,1,4,10,6,1,1,0,0,301,3,11,Forward,Midfielder,Ligue 1
Noah Atubolu,GER,Freiburg,21,2002,34.0,1392,1060,329,88,0,4,0,0,0,0,0,0,982,3,1,,Goalkeeper,Bundesliga
Pierre-Emerick Aubameyang,GAB,Marseille,34,1989,29.1,660,608,48,1,3,0,42,4,0,0,0,0,444,4,27,,Forward,Ligue 1
Emil Audero,ITA,Inter,26,1997,3.7,197,174,21,3,0,0,0,0,0,0,0,0,166,2,1,,Goalkeeper,Serie A
Tommaso Augello,ITA,Cagliari,28,1994,26.9,1329,1008,317,42,1,2,153,241,34,7,25,0,919,4,42,,Defender,Serie A
Carlos Augusto,BRA,Inter,24,1999,19.2,1099,977,112,14,0,3,40,92,0,0,0,0,921,10,25,,Defender,Serie A
Yann Aurel Bisseck,GER,Inter,22,2000,10.0,641,614,27,20,1,2,5,7,0,0,0,0,590,0,9,,Defender,Serie A
Serge Aurier,CIV,Nott'ham Forest,30,1992,9.3,448,407,41,6,1,0,22,35,0,0,0,0,348,0,8,Midfielder,Defender,Premier League
Ezequiel Ávila,ARG,Osasuna,29,1994,9.6,371,312,56,13,4,6,79,10,32,17,12,0,232,3,9,Midfielder,Forward,La Liga
Ezequiel Ávila,ARG,Betis,29,1994,3.3,91,89,2,1,0,3,12,1,0,0,0,0,55,0,6,,Forward,La Liga
Taiwo Awoniyi,NGA,Nott'ham Forest,25,1997,11.6,175,169,4,0,2,1,1,0,0,0,0,0,127,2,3,,Forward,Premier League
André Ayew,GHA,Le Havre,33,1989,12.3,266,244,19,0,0,0,4,1,0,0,0,0,197,3,10,,Forward,Ligue 1
Jordan Ayew,GHA,Crystal Palace,31,1991,28.3,920,876,42,8,4,5,97,10,22,6,8,0,681,2,43,Midfielder,Forward,Premier League
Neil El Aynaoui,FRA,Lens,22,2001,17.4,670,660,9,8,2,0,7,1,0,0,0,0,576,1,6,,Midfielder,Ligue 1
Sardar Azmoun,IRN,Roma,28,1995,6.5,156,152,4,1,1,1,2,1,0,0,0,0,108,0,8,Midfielder,Forward,Serie A
César Azpilicueta,ESP,Atlético Madrid,33,1989,15.8,1035,899,130,19,1,2,11,111,0,0,0,0,867,6,8,,Defender,La Liga
Paulo Azzi,BRA,Cagliari,29,1994,10.6,487,394,91,6,0,1,48,84,1,0,0,0,322,2,13,Midfielder,Defender,Serie A
Oussama El Azzouzi,MAR,Bologna,22,2001,6.1,390,383,7,6,0,2,2,0,1,1,0,0,352,0,2,,Midfielder,Serie A
Abdellah Baallal,MAR,Clermont Foot,18,2004,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,,Midfielder,Ligue 1
Iddrisu Baba,GHA,Almería,27,1996,15.9,654,636,15,15,2,2,4,0,0,0,0,0,543,3,10,,Midfielder,La Liga
Srđan Babić,SRB,Almería,27,1996,1.0,62,60,2,2,0,1,0,0,0,0,0,0,58,0,0,,Defender,La Liga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Shavy Babicka,GAB,Toulouse,23,2000,4.1,127,122,3,0,0,0,13,3,0,0,0,0,77,2,10,Midfielder,Forward,Ligue 1
Aliou Badara Baldé,GUI,Nice,20,2002,0.8,30,29,1,0,1,0,4,0,1,0,0,0,15,0,2,Defender,Forward,Ligue 1
Loïc Bade,FRA,Sevilla,23,2000,25.3,1346,1308,34,30,1,18,2,4,0,0,0,0,1113,4,12,,Defender,La Liga
Milan Badelj,CRO,Genoa,34,1989,28.2,1407,1344,59,39,5,14,14,9,0,0,0,0,1136,4,20,,Midfielder,Serie A
Matthias Bader,GER,Darmstadt 98,26,1997,20.0,912,747,160,5,1,10,32,155,0,0,0,0,687,5,31,Midfielder,Defender,Bundesliga
