Player,Nation,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position_2,Position,League
Jonathan Clauss,FRA,Marseille,30,1992,23.0,47,20,22,19,6,26,49,53.1,23,17,3,14,36,83,46,0,,Defender,Ligue 1
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Silvi Clúa,ESP,Girona,18,2005,0.0,2,0,2,0,0,2,2,100.0,0,1,0,1,0,2,0,0,,Midfielder,La Liga
Nathaniel Clyne,ENG,Crystal Palace,32,1991,14.9,24,15,11,11,2,14,21,66.7,7,18,6,12,10,34,33,0,,Defender,Premier League
Marcus Coco,FRA,Nantes,27,1996,16.5,43,26,29,10,4,28,60,46.7,32,19,1,18,21,64,38,0,Forward,Defender,Ligue 1
Saúl Coco,EQG,Las Palmas,24,1999,25.5,32,19,25,7,0,11,18,61.1,7,27,15,12,20,52,120,3,,Defender,La Liga
Séamus Coleman,IRL,Everton,34,1988,7.4,17,14,10,3,4,11,16,68.8,5,12,4,8,7,24,26,1,,Defender,Premier League
Maxime Colin,FRA,Metz,31,1991,20.4,39,23,25,7,7,16,29,55.2,13,22,7,15,20,59,71,0,,Defender,Ligue 1
Nathan Collins,IRL,Brentford,22,2001,29.5,38,20,24,12,2,19,29,65.5,10,46,30,16,44,82,141,4,,Defender,Premier League
Nnamdi Collins,GER,Eint Frankfurt,19,2004,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,,Defender,Bundesliga
Lorenzo Colombo,ITA,Monza,21,2002,15.1,17,12,3,9,5,8,14,57.1,6,18,5,13,0,17,14,0,,Forward,Serie A
Andrea Colpani,ITA,Monza,24,1999,29.5,25,15,6,13,6,11,20,55.0,9,11,4,7,14,39,14,0,Forward,Midfielder,Serie A
Levi Colwill,ENG,Chelsea,20,2003,20.0,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0,,Defender,Premier League
Kingsley Coman,FRA,Bayern Munich,27,1996,12.4,12,7,5,3,4,9,17,52.9,8,15,1,14,2,14,5,0,,Forward,Bundesliga
Eray Cömert,SUI,Nantes,25,1998,22.2,42,28,28,13,1,28,38,73.7,10,35,18,17,36,78,77,1,,Defender,Ligue 1
Santi Comesaña,ESP,Villarreal,26,1996,18.4,44,26,15,21,8,19,38,50.0,19,33,9,24,22,66,27,1,,Midfielder,La Liga
Pietro Comuzzo,ITA,Fiorentina,18,2005,0.5,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,2,0,Forward,Defender,Serie A
Alois Confais,FRA,Le Havre,26,1996,0.1,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Forward,Midfielder,Ligue 1
Andrea Consigli,ITA,Sassuolo,36,1987,35.0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,19,1,,Goalkeeper,Serie A
Bambasé Conté,GER,Hoffenheim,20,2003,0.5,3,3,2,0,1,1,1,100.0,0,0,0,0,0,3,0,0,Forward,Midfielder,Bundesliga
Nikita Contini Baranovsky,ITA,Napoli,27,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Goalkeeper,Serie A
Lewis Cook,ENG,Bournemouth,26,1997,31.0,61,41,24,30,7,34,63,54.0,29,32,11,21,65,126,46,1,,Midfielder,Premier League
Copete,ESP,Mallorca,23,1999,14.8,45,27,27,17,1,30,43,69.8,13,12,6,6,32,77,47,1,,Defender,La Liga
Diego Coppola,ITA,Hellas Verona,19,2003,18.2,36,22,25,9,2,20,33,60.6,13,26,9,17,27,63,89,1,,Defender,Serie A
Francis Coquelin,FRA,Villarreal,32,1991,10.1,20,12,8,10,2,5,13,38.5,8,14,4,10,16,36,15,0,,Midfielder,La Liga
Tommaso Corazza,ITA,Bologna,19,2004,2.2,10,4,9,1,0,4,9,44.4,5,2,0,2,5,15,3,0,,Defender,Serie A
Theo Corbeanu,CAN,Granada,21,2002,2.0,5,2,2,3,0,1,3,33.3,2,3,0,3,3,8,2,0,Forward,Midfielder,La Liga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Jeppe Corfitzen,DEN,Lecce,18,2004,0.1,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,,Forward,Serie A
Jack Cork,ENG,Burnley,34,1989,0.3,2,0,0,2,0,1,3,33.3,2,0,0,0,1,3,1,0,,Midfielder,Premier League
Maxwel Cornet,CIV,West Ham,26,1996,1.2,3,2,3,0,0,1,5,20.0,4,2,0,2,2,5,1,0,Forward,Midfielder,Premier League
Giacomo Corona,ITA,Empoli,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Serie A
Jesús Corona,MEX,Sevilla,30,1993,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Defender,Midfielder,La Liga
Ángel Correa,ARG,Atlético Madrid,28,1995,17.0,22,15,3,11,8,5,17,29.4,12,13,0,13,2,24,6,0,Midfielder,Forward,La Liga
Joaquín Correa,ARG,Marseille,28,1994,4.8,7,5,4,2,1,0,8,0.0,8,2,0,2,1,8,1,0,Midfielder,Forward,Ligue 1
Thierry Correia,POR,Valencia,24,1999,23.9,63,35,39,20,4,28,49,57.1,21,39,16,23,33,96,61,0,,Defender,La Liga
Oscar Cortés,COL,Lens,19,2003,0.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Midfielder,Forward,Ligue 1
Danny da Costa,GER,Mainz 05,30,1993,9.2,18,9,9,7,2,9,19,47.4,10,17,4,13,16,34,24,0,,Defender,Bundesliga
David Pereira da Costa,POR,Lens,22,2001,16.6,18,10,5,12,1,10,23,43.5,13,21,4,17,16,34,8,1,,Midfielder,Ligue 1
Jaume Costa,ESP,Mallorca,35,1988,18.7,38,22,23,10,5,18,29,62.1,11,14,4,10,16,54,35,0,,Defender,La Liga
João Costa,BRA,Roma,18,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,Midfielder,Serie A
Logan Costa,CPV,Toulouse,22,2001,29.4,40,24,31,9,0,15,24,62.5,9,42,27,15,23,63,120,1,,Defender,Ligue 1
Samu Costa,POR,Mallorca,22,2000,25.6,91,50,40,46,5,46,93,49.5,47,28,14,14,39,130,59,3,,Midfielder,La Liga
Benoît Costil,FRA,Salernitana,36,1987,13.0,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,5,1,,Goalkeeper,Serie A
Grégoire Coudert,FRA,Brest,24,1999,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,Ligue 1
Vladimír Coufal,CZE,West Ham,30,1992,34.8,64,41,50,12,2,38,75,50.7,37,49,15,34,43,107,97,0,,Defender,Premier League
Lassana Coulibaly,MLI,Salernitana,27,1996,23.1,47,32,20,21,6,22,49,44.9,27,23,5,18,16,63,29,0,,Midfielder,Serie A
Mamadou Coulibaly,SEN,Salernitana,24,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Defender,Serie A
Mamadou Coulibaly,FRA,Monaco,19,2004,1.3,7,4,2,3,2,3,8,37.5,5,4,0,4,0,7,0,0,,Midfielder,Ligue 1
Tanguy Coulibaly,FRA,Montpellier,22,2001,6.9,13,11,8,4,1,4,9,44.4,5,11,1,10,2,15,2,0,Midfielder,Forward,Ligue 1
Thibaut Courtois,BEL,Real Madrid,31,1992,3.7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,Goalkeeper,La Liga
Philippe Coutinho,BRA,Aston Villa,31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Forward,Midfielder,Premier League
Yan Couto,BRA,Girona,21,2002,24.9,45,34,25,14,6,20,40,50.0,20,14,2,12,10,55,31,1,Forward,Defender,La Liga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Nicolas Cozza,FRA,Nantes,24,1999,9.9,35,23,23,10,2,17,24,70.8,7,7,0,7,14,49,32,0,,Defender,Ligue 1
Nicolas Cozza,FRA,Wolfsburg,24,1999,3.1,8,6,4,4,0,2,7,28.6,5,3,0,3,4,12,6,0,,Defender,Bundesliga
Alessio Cragno,ITA,Sassuolo,29,1994,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,,Goalkeeper,Serie A
Crespo,POR,Rayo Vallecano,26,1996,5.9,16,9,8,6,2,9,17,52.9,8,15,6,9,10,26,7,0,,Midfielder,La Liga
Aaron Cresswell,ENG,West Ham,33,1989,4.8,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,Forward,Defender,Premier League
Bryan Cristante,ITA,Roma,28,1995,36.5,72,41,33,28,11,28,50,56.0,22,36,6,30,25,97,55,2,Defender,Midfielder,Serie A
Cristian,ESP,Valencia,25,1998,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,La Liga
Juan Cruz Armada,ESP,Osasuna,31,1992,18.5,27,15,16,10,1,17,25,68.0,8,14,7,7,12,39,39,1,,Defender,La Liga
Juan Cruz,ARG,Hellas Verona,24,1999,1.2,2,2,0,0,2,0,0,0,0,1,0,1,1,3,0,0,Midfielder,Forward,Serie A
Juan Cruz,ESP,Betis,23,2000,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,,Forward,La Liga
Juan Cuadrado,COL,Inter,35,1988,3.0,4,3,2,2,0,3,5,60.0,2,6,1,5,1,5,2,0,,Defender,Serie A
Pau Cubarsí,ESP,Barcelona,16,2007,17.3,22,14,18,3,1,13,18,72.2,5,20,16,4,12,34,65,0,,Defender,La Liga
Marc Cucurella,ESP,Chelsea,25,1998,19.8,62,38,36,21,5,34,64,53.1,30,36,13,23,22,84,48,0,,Defender,Premier League
Iván Cuéllar,ESP,Mallorca,39,1984,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,La Liga
Jorge Cuenca,ESP,Villarreal,23,1999,21.8,42,29,26,10,6,19,30,63.3,11,26,15,11,21,63,114,0,,Defender,La Liga
Josh Cullen,IRL,Burnley,27,1996,22.9,42,29,15,22,5,26,46,56.5,20,31,19,12,15,57,26,1,,Midfielder,Premier League
Matheus Cunha,BRA,Wolves,24,1999,27.1,30,16,8,17,5,13,35,37.1,22,28,7,21,13,43,21,1,Midfielder,Forward,Premier League
Marvin Cuni,ALB,Frosinone,22,2001,5.9,8,3,1,3,4,3,4,75.0,1,10,1,9,1,9,0,0,,Forward,Serie A
Eric Curbelo,ESP,Las Palmas,29,1994,1.1,4,3,2,2,0,3,4,75.0,1,3,1,2,2,6,5,1,Midfielder,Defender,La Liga
Sam Curtis,IRL,Sheffield Utd,17,2005,0.3,1,0,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0,,Defender,Premier League
Tomáš Čvančara,CZE,Gladbach,22,2000,10.0,4,3,0,2,2,1,3,33.3,2,5,1,4,2,6,8,0,,Forward,Bundesliga
Danilo D'Ambrosio,ITA,Monza,34,1988,17.1,57,34,34,20,3,28,41,68.3,13,22,13,9,14,71,31,0,,Defender,Serie A
Alberto Dadie,ESP,Real Sociedad,21,2002,0.3,2,1,2,0,0,0,0,0,0,1,0,1,0,2,0,0,,Midfielder,La Liga
Trévis Dago,CIV,Lille,18,2005,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Midfielder,Forward,Ligue 1
Finn Dahmen,GER,Augsburg,25,1998,31.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,17,5,,Goalkeeper,Bundesliga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Mahmoud Dahoud,GER,Brighton,27,1996,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0,,Midfielder,Premier League
Mahmoud Dahoud,GER,Stuttgart,27,1996,2.5,5,1,1,4,0,3,7,42.9,4,4,0,4,0,5,1,0,,Midfielder,Bundesliga
Ameen Al-Dakhil,BEL,Burnley,21,2002,11.7,12,5,4,7,1,1,10,10.0,9,13,6,7,12,24,38,2,,Defender,Premier League
Thijs Dallinga,NED,Toulouse,22,2000,27.9,29,15,6,11,12,9,15,60.0,6,11,4,7,3,32,35,0,,Forward,Ligue 1
Diogo Dalot,POR,Manchester Utd,24,1999,35.3,81,51,58,12,11,51,74,68.9,23,44,16,28,37,118,111,0,,Defender,Premier League
Mikkel Damsgaard,DEN,Brentford,23,2000,9.4,29,17,13,9,7,14,40,35.0,26,23,1,22,11,40,10,1,,Midfielder,Premier League
Flavius Daniliuc,AUT,Salernitana,22,2001,8.3,19,11,12,5,2,9,19,47.4,10,13,4,9,8,27,15,0,,Defender,Serie A
Danilo,BRA,Nott'ham Forest,22,2001,19.9,36,18,22,12,2,21,46,45.7,25,33,8,25,35,71,42,0,,Midfielder,Premier League
Danilo,BRA,Juventus,32,1991,27.2,60,36,38,18,4,32,48,66.7,16,34,15,19,37,97,94,0,,Defender,Serie A
Arnaut Danjuma,NED,Everton,26,1997,6.6,6,4,2,3,1,1,4,25.0,3,4,0,4,3,9,0,0,Forward,Midfielder,Premier League
Jayden Danns,ENG,Liverpool,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Premier League
Kevin Danso,AUT,Lens,24,1998,29.5,24,14,12,11,1,15,30,50.0,15,43,30,13,23,47,115,1,,Defender,Ligue 1
Dante,BRA,Nice,39,1983,31.6,62,30,44,16,2,38,52,73.1,14,43,22,21,37,99,77,2,,Defender,Ligue 1
Raimane Daou,COM,Marseille,18,2004,0.3,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,Midfielder,Defender,Ligue 1
Mohammed Daramy,DEN,Reims,21,2002,18.3,10,9,4,4,2,6,16,37.5,10,5,1,4,4,14,4,0,Midfielder,Forward,Ligue 1
Sergi Darder,ESP,Mallorca,29,1993,24.0,39,26,13,21,5,12,31,38.7,19,20,4,16,16,55,16,0,,Midfielder,La Liga
Achraf Dari,MAR,Brest,24,1999,1.3,1,1,1,0,0,0,2,0.0,2,2,0,2,5,6,9,1,Forward,Defender,Ligue 1
Matteo Darmian,ITA,Inter,33,1989,26.7,48,22,23,15,10,20,53,37.7,33,27,11,16,13,61,55,0,,Defender,Serie A
Lukas Daschner,GER,Bochum,24,1998,6.0,9,4,2,3,4,4,9,44.4,5,7,0,7,2,11,2,0,Forward,Midfielder,Bundesliga
Josh Dasilva,ENG,Brentford,24,1998,0.3,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,Forward,Defender,Premier League
David Datro Fofana,CIV,Burnley,20,2002,9.8,10,5,3,5,2,3,6,50.0,3,9,3,6,1,11,2,0,,Forward,Premier League
David Datro Fofana,CIV,Union Berlin,20,2002,7.6,10,7,3,5,2,4,9,44.4,5,4,0,4,0,10,5,0,Midfielder,Forward,Bundesliga
Juan David Cabal,COL,Hellas Verona,22,2001,16.6,36,27,19,14,3,18,29,62.1,11,30,9,21,26,62,55,2,,Defender,Serie A
Jonathan David,CAN,Lille,23,2000,29.2,26,15,6,13,7,8,26,30.8,18,16,0,16,9,35,4,0,,Forward,Ligue 1
Alphonso Davies,CAN,Bayern Munich,22,2000,22.9,47,24,29,13,5,30,53,56.6,23,30,4,26,26,73,49,1,,Defender,Bundesliga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Ben Davies,WAL,Tottenham,30,1993,12.1,24,17,13,8,3,16,21,76.2,5,17,15,2,10,34,35,0,,Defender,Premier League
Tom Davies,ENG,Sheffield Utd,25,1998,2.5,10,5,4,3,3,3,9,33.3,6,2,1,1,3,13,6,1,,Midfielder,Premier League
Keinan Davis,ENG,Udinese,25,1998,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Midfielder,Forward,Serie A
Paweł Dawidowicz,POL,Hellas Verona,28,1995,23.8,53,30,33,18,2,17,29,58.6,12,17,9,8,24,77,114,1,,Defender,Serie A
Craig Dawson,ENG,Wolves,33,1990,24.5,30,20,23,6,1,22,34,64.7,12,51,39,12,16,46,120,1,,Defender,Premier League
Kevin De Bruyne,BEL,Manchester City,32,1991,13.6,14,9,1,5,8,7,20,35.0,13,5,0,5,4,18,4,0,,Midfielder,Premier League
Charles De Ketelaere,BEL,Atalanta,22,2001,22.5,33,21,3,12,18,10,20,50.0,10,30,2,28,7,40,6,0,Midfielder,Forward,Serie A
Rodrigo De Paul,ARG,Atlético Madrid,29,1994,23.1,31,21,11,14,6,15,38,39.5,23,28,1,27,11,42,15,2,,Midfielder,La Liga
Mattia De Sciglio,ITA,Juventus,30,1992,0.5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,,Defender,Serie A
Lorenzo De Silvestri,ITA,Bologna,35,1988,7.5,10,8,5,2,3,4,7,57.1,3,9,4,5,6,16,27,0,,Defender,Serie A
Thibault De Smet,BEL,Reims,25,1998,20.3,56,35,36,16,4,33,59,55.9,26,25,5,20,21,77,51,1,,Defender,Ligue 1
Koni De Winter,BEL,Genoa,21,2002,26.4,44,25,26,13,5,21,31,67.7,10,30,10,20,21,65,78,0,,Defender,Serie A
Grégoire Defrel,MTQ,Sassuolo,32,1991,8.4,17,8,7,5,5,7,15,46.7,8,10,0,10,3,20,9,0,Midfielder,Forward,Serie A
Alessandro Deiola,ITA,Cagliari,27,1995,17.9,33,19,13,16,4,18,47,38.3,29,16,6,10,9,42,37,0,,Midfielder,Serie A
Romain Del Castillo,FRA,Brest,27,1996,27.7,46,29,14,18,14,18,70,25.7,52,33,1,32,9,55,8,0,,Forward,Ligue 1
Thomas Delaine,FRA,Strasbourg,31,1992,22.7,38,19,29,8,1,20,42,47.6,22,18,2,16,17,55,51,0,Midfielder,Defender,Ligue 1
Sacha Delaye,FRA,Montpellier,21,2002,1.4,7,2,2,2,3,1,6,16.7,5,2,0,2,0,7,1,0,Forward,Midfielder,Ligue 1
Hannes Delcroix,BEL,Burnley,24,1999,6.5,10,6,6,4,0,3,4,75.0,1,9,3,6,9,19,26,0,,Defender,Premier League
Alessandro Dellavalle,ITA,Torino,19,2004,0.2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,,Defender,Serie A
Olivier Deman,BEL,Werder Bremen,23,2000,15.2,28,15,21,4,3,18,38,47.4,20,24,8,16,14,42,49,1,,Defender,Bundesliga
Karamoko Dembele,SCO,Brest,20,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,Midfielder,Ligue 1
Ousmane Dembélé,FRA,Paris S-G,26,1997,16.7,19,14,2,7,10,6,13,46.2,7,11,0,11,5,24,4,1,Forward,Midfielder,Ligue 1
Jessy Deminguet,FRA,Strasbourg,25,1998,7.7,14,9,6,8,0,6,18,33.3,12,8,0,8,9,23,5,1,Forward,Midfielder,Ligue 1
Ermedin Demirović,BIH,Augsburg,25,1998,31.9,24,14,5,16,3,12,40,30.0,28,28,2,26,11,35,26,0,Midfielder,Forward,Bundesliga
Diego Demme,GER,Napoli,31,1991,0.8,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,,Midfielder,Serie A
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Sepp van den Berg,NED,Mainz 05,21,2001,31.5,38,23,20,15,3,15,26,57.7,11,66,36,30,43,81,159,2,,Defender,Bundesliga
Leander Dendoncker,BEL,Aston Villa,28,1995,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1,,Midfielder,Premier League
Leander Dendoncker,BEL,Napoli,28,1995,0.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,Midfielder,Serie A
Rémy Descamps,FRA,Nantes,27,1996,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,Goalkeeper,Ligue 1
Mikkel Desler,DEN,Toulouse,28,1995,17.2,18,12,8,7,3,9,17,52.9,8,32,13,19,19,37,38,0,,Defender,Ligue 1
Arthur Desmas,FRA,Le Havre,29,1994,33.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,1,,Goalkeeper,Ligue 1
Mattia Destro,ITA,Empoli,32,1991,4.1,2,1,0,2,0,1,1,100.0,0,4,0,4,2,4,3,0,Midfielder,Forward,Serie A
Samuele Di Benedetto,GER,Stuttgart,18,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,Midfielder,Bundesliga
Federico Di Francesco,ITA,Lecce,29,1994,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Midfielder,Forward,Serie A
Raffaele Di Gennaro,ITA,Inter,29,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,Serie A
Michele Di Gregorio,ITA,Monza,26,1997,31.9,1,0,1,0,0,1,4,25.0,3,1,0,1,1,2,10,2,,Goalkeeper,Serie A
Giovanni Di Lorenzo,ITA,Napoli,29,1993,35.9,58,36,26,26,6,32,68,47.1,36,43,16,27,24,82,45,0,,Defender,Serie A
Alessandro Di Pardo,ITA,Cagliari,24,1999,4.0,4,1,3,0,1,0,3,0.0,3,9,2,7,5,9,7,0,Midfielder,Defender,Serie A
Boulaye Dia,SEN,Salernitana,26,1996,12.7,4,2,2,2,0,1,3,33.3,2,5,0,5,3,7,7,0,Midfielder,Forward,Serie A
Moussa Diaby,FRA,Aston Villa,24,1999,24.2,12,5,5,4,3,4,22,18.2,18,8,1,7,9,21,6,0,Midfielder,Forward,Premier League
Lamine Diack,SEN,Nantes,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Ligue 1
Mouctar Diakhaby,GUI,Valencia,26,1996,11.9,18,11,9,9,0,11,13,84.6,2,17,7,10,11,29,62,0,Midfielder,Defender,La Liga
Mamadou Diakhon,FRA,Reims,17,2005,2.3,5,3,2,1,2,3,9,33.3,6,1,0,1,1,6,1,0,Midfielder,Forward,Ligue 1
Bafodé Diakité,FRA,Lille,22,2001,18.8,29,20,12,15,2,24,32,75.0,8,16,8,8,21,50,49,1,,Defender,Ligue 1
Ibrahim Diakité,GUI,Reims,19,2003,1.2,1,0,0,1,0,0,1,0.0,1,3,0,3,2,3,5,0,,Defender,Ligue 1
Moussa Diakité,MLI,Cádiz,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,La Liga
Oumar Diakité,CIV,Reims,19,2003,17.6,25,12,10,9,6,7,21,33.3,14,13,0,13,7,32,7,0,,Forward,Ligue 1
Amad Diallo,CIV,Manchester Utd,21,2002,4.3,10,3,1,6,3,3,7,42.9,4,3,1,2,1,11,6,0,Midfielder,Forward,Premier League
Amadou Diallo,ENG,Newcastle Utd,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Premier League
Assane Diao,ESP,Betis,17,2005,11.6,20,12,5,9,6,6,17,35.3,11,22,4,18,7,27,7,0,,Forward,La Liga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Habib Diarra,SEN,Strasbourg,19,2004,25.6,30,23,8,20,2,9,33,27.3,24,23,4,19,17,47,15,0,Forward,Midfielder,Ligue 1
Moussa Diarra,MLI,Toulouse,22,2000,15.5,32,12,16,15,1,13,27,48.1,14,30,14,16,20,52,43,0,,Defender,Ligue 1
Rúben Dias,POR,Manchester City,26,1997,28.4,39,20,14,21,4,19,26,73.1,7,32,17,15,30,69,77,0,,Defender,Premier League
Krépin Diatta,SEN,Monaco,24,1999,13.4,37,20,17,16,4,27,49,55.1,22,17,2,15,16,53,22,0,Forward,Defender,Ligue 1
Mory Diaw,SEN,Clermont Foot,30,1993,30.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,13,5,,Goalkeeper,Ligue 1
Mahamadou Diawara,FRA,Lyon,18,2005,4.0,9,6,4,5,0,3,11,27.3,8,4,1,3,4,13,4,0,,Midfielder,Ligue 1
Brahim Díaz,MAR,Real Madrid,23,1999,17.2,29,19,4,16,9,6,13,46.2,7,16,1,15,5,34,2,0,Midfielder,Forward,La Liga
Luis Díaz,COL,Liverpool,26,1997,29.2,35,25,5,17,13,7,30,23.3,23,15,0,15,3,38,8,0,,Forward,Premier League
Víctor Díaz,ESP,Granada,35,1988,1.8,5,3,2,3,0,1,3,33.3,2,1,0,1,1,6,8,0,Midfielder,Defender,La Liga
Famara Diedhiou,SEN,Granada,30,1992,1.0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,2,0,Midfielder,Forward,La Liga
Justin Diehl,GER,Köln,18,2004,1.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Midfielder,Forward,Bundesliga
Bamba Dieng,SEN,Lorient,23,2000,6.1,3,3,0,3,0,1,3,33.3,2,3,0,3,0,3,7,0,,Forward,Ligue 1
Eric Dier,ENG,Tottenham,29,1994,2.2,2,1,2,0,0,2,2,100.0,0,3,3,0,2,4,12,0,,Defender,Premier League
Eric Dier,ENG,Bayern Munich,29,1994,13.0,11,8,5,5,1,5,6,83.3,1,20,12,8,10,21,48,1,,Defender,Bundesliga
Guillaume Dietsch,FRA,Metz,22,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,Ligue 1
Florian Dietz,GER,Köln,24,1998,0.8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Midfielder,Forward,Bundesliga
Lucas Digne,FRA,Aston Villa,30,1993,26.8,47,19,35,9,3,25,44,56.8,19,20,2,18,26,73,67,0,,Defender,Premier League
Federico Dimarco,ITA,Inter,25,1997,23.1,42,25,19,14,9,17,35,48.6,18,18,3,15,9,51,34,1,,Defender,Serie A
Stole Dimitrievski,MKD,Rayo Vallecano,29,1993,37.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,17,3,,Goalkeeper,La Liga
Junior Dina Ebimbe,FRA,Eint Frankfurt,22,2000,21.7,44,29,15,17,12,18,41,43.9,23,28,7,21,9,53,39,1,Defender,Midfielder,Bundesliga
Eren Dinkçi,GER,Heidenheim,21,2001,29.4,32,18,16,13,3,19,48,39.6,29,40,4,36,12,44,21,0,Midfielder,Forward,Bundesliga
Sinaly Diomande,CIV,Lyon,22,2001,9.9,10,4,5,3,2,9,16,56.3,7,12,9,3,15,25,26,1,,Defender,Ligue 1
Edan Diop,FRA,Monaco,18,2004,1.8,10,8,6,3,1,7,9,77.8,2,3,0,3,1,11,5,0,Defender,Midfielder,Ligue 1
Issa Diop,FRA,Fulham,26,1997,15.8,30,16,23,5,2,15,20,75.0,5,28,19,9,17,47,80,1,,Defender,Premier League
