Player,Nation,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Position_2,Position,League
Jeanuël Belocian,FRA,Rennes,18,2005,16.1,759,862,88.1,14203,4121,239,273,87.5,415,452,91.8,74,94,78.7,1,0.4,0.3,+0.6,6,57,3,1,60,,Defender,Ligue 1
Andrea Belotti,ITA,Fiorentina,29,1993,10.5,133,201,66.2,1754,337,82,114,71.9,37,53,69.8,3,8,37.5,0,0.7,0.6,-0.7,5,7,4,1,15,,Forward,Serie A
Andrea Belotti,ITA,Roma,29,1993,7.5,115,155,74.2,1521,212,72,86,83.7,31,41,75.6,5,7,71.4,2,1.2,0.9,+0.8,8,2,1,0,8,,Forward,Serie A
Fran Beltrán,ESP,Celta Vigo,24,1999,27.0,1180,1364,86.5,18451,5360,602,662,90.9,473,525,90.1,64,104,61.5,0,1.1,1.7,-1.1,18,120,15,2,134,,Midfielder,La Liga
Lucas Beltrán,ARG,Fiorentina,22,2001,18.8,360,459,78.4,5213,1095,201,246,81.7,118,137,86.1,21,28,75.0,2,1.5,1.9,+0.5,25,25,19,0,49,Midfielder,Forward,Serie A
Eliesse Ben Seghir,MAR,Monaco,18,2005,4.8,174,215,80.9,2671,572,90,104,86.5,63,75,84.0,9,18,50.0,1,0.5,0.6,+0.5,5,14,6,1,21,Forward,Midfielder,Ligue 1
Anis Ben Slimane,TUN,Sheffield Utd,22,2001,4.7,92,139,66.2,1322,373,47,70,67.1,35,43,81.4,4,5,80.0,0,0.3,0.1,-0.3,3,6,2,0,12,,Midfielder,Premier League
Wissam Ben Yedder,FRA,Monaco,32,1990,25.7,555,752,73.8,7382,1881,345,430,80.2,149,210,71.0,22,33,66.7,2,4.3,5.7,-2.3,37,53,34,1,96,,Forward,Ligue 1
Carlos Benavídez,URU,Alavés,25,1998,12.6,321,459,69.9,5838,1863,147,179,82.1,130,178,73.0,37,84,44.0,1,0.5,0.7,+0.5,6,45,9,0,60,,Midfielder,La Liga
Ismaël Bennacer,ALG,Milan,25,1997,12.8,711,818,86.9,10751,2872,388,414,93.7,251,286,87.8,41,68,60.3,2,2.5,1.6,-0.5,17,66,11,3,68,,Midfielder,Serie A
Saïd Benrahma,ALG,West Ham,27,1995,6.9,193,257,75.1,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,1,1.4,0.8,-0.4,11,11,11,2,28,Midfielder,Forward,Premier League
Saïd Benrahma,ALG,Lyon,27,1995,8.6,238,349,68.2,3752,1205,120,145,82.8,82,124,66.1,20,44,45.5,3,3.6,3.7,-0.6,23,16,21,11,34,Midfielder,Forward,Ligue 1
Ramy Bensebaini,ALG,Dortmund,28,1995,11.5,702,851,82.5,11465,3639,343,383,89.6,299,338,88.5,44,79,55.7,0,0.4,0.9,-0.4,6,62,9,1,75,,Defender,Bundesliga
Nabil Bentaleb,ALG,Lille,28,1994,21.9,1248,1454,85.8,22387,6885,519,584,88.9,545,606,89.9,144,199,72.4,3,0.9,0.8,+2.1,14,147,9,0,136,,Midfielder,Ligue 1
