Player,Nation,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Position_2,Position,League
Jessy Deminguet,FRA,Strasbourg,25,1998,7.7,221,258,85.7,3891,1010,105,112,93.8,85,96,88.5,25,41,61.0,0,0.4,0.6,-0.4,2,31,3,0,24,Forward,Midfielder,Ligue 1
Ermedin Demirović,BIH,Augsburg,25,1998,31.9,371,574,64.6,4996,1174,202,289,69.9,129,165,78.2,8,14,57.1,9,3.9,3.7,+5.1,33,40,17,1,60,Midfielder,Forward,Bundesliga
Diego Demme,GER,Napoli,31,1991,0.8,63,76,82.9,1050,216,28,34,82.4,29,35,82.9,4,4,100.0,0,0.0,0.0,0.0,0,3,1,0,5,,Midfielder,Serie A
Sepp van den Berg,NED,Mainz 05,21,2001,31.5,1190,1469,81.0,21938,7392,421,497,84.7,657,764,86.0,94,163,57.7,0,0.3,0.4,-0.3,7,86,4,0,95,,Defender,Bundesliga
Leander Dendoncker,BEL,Aston Villa,28,1995,1.3,45,56,80.4,744,139,24,28,85.7,19,22,86.4,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,3,,Midfielder,Premier League
Leander Dendoncker,BEL,Napoli,28,1995,0.3,23,27,85.2,333,62,15,17,88.2,8,9,88.9,0,1,0.0,0,0.0,0.0,0.0,0,3,0,0,2,,Midfielder,Serie A
Rémy Descamps,FRA,Nantes,27,1996,6.0,128,212,60.4,4450,3581,26,26,100.0,35,35,100.0,67,150,44.7,0,0.0,0.0,0.0,0,5,0,0,0,,Goalkeeper,Ligue 1
Mikkel Desler,DEN,Toulouse,28,1995,17.2,788,944,83.5,11478,3595,440,489,90.0,288,342,84.2,26,53,49.1,1,0.7,1.1,+0.3,8,49,5,2,81,,Defender,Ligue 1
Arthur Desmas,FRA,Le Havre,29,1994,33.0,611,945,64.7,17763,13674,112,112,100.0,258,261,98.9,230,555,41.4,0,0.4,0.1,-0.4,1,15,1,0,0,,Goalkeeper,Ligue 1
Mattia Destro,ITA,Empoli,32,1991,4.1,41,63,65.1,567,71,22,32,68.8,17,25,68.0,1,1,100.0,0,0.3,0.0,-0.3,3,2,0,0,4,Midfielder,Forward,Serie A
Samuele Di Benedetto,GER,Stuttgart,18,2005,0.1,10,11,90.9,107,2,7,7,100.0,2,2,100.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,,Midfielder,Bundesliga
Federico Di Francesco,ITA,Lecce,29,1994,0.2,6,8,75.0,90,43,1,2,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Midfielder,Forward,Serie A
Raffaele Di Gennaro,ITA,Inter,29,1993,0.3,15,17,88.2,324,175,5,5,100.0,8,8,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0,,Goalkeeper,Serie A
Michele Di Gregorio,ITA,Monza,26,1997,31.9,1054,1350,78.1,28283,18779,220,224,98.2,513,517,99.2,314,600,52.3,0,0.0,0.1,0.0,0,15,0,0,1,,Goalkeeper,Serie A
Giovanni Di Lorenzo,ITA,Napoli,29,1993,35.9,2314,2732,84.7,36941,13552,1255,1357,92.5,835,982,85.0,170,254,66.9,6,4.9,5.4,+1.1,51,230,86,16,304,,Defender,Serie A
Alessandro Di Pardo,ITA,Cagliari,24,1999,4.0,115,175,65.7,1822,700,65,82,79.3,41,57,71.9,6,24,25.0,0,0.2,0.2,-0.2,5,5,7,4,11,Midfielder,Defender,Serie A
Boulaye Dia,SEN,Salernitana,26,1996,12.7,204,244,83.6,3303,641,99,111,89.2,77,86,89.5,16,23,69.6,0,0.5,0.5,-0.5,10,22,5,0,22,Midfielder,Forward,Serie A
Moussa Diaby,FRA,Aston Villa,24,1999,24.2,485,619,78.4,6960,1348,280,329,85.1,170,215,79.1,17,32,53.1,8,6.6,4.5,+1.4,47,29,40,9,72,Midfielder,Forward,Premier League
Lamine Diack,SEN,Nantes,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,Midfielder,Ligue 1
Mouctar Diakhaby,GUI,Valencia,26,1996,11.9,475,546,87.0,9314,2704,152,160,95.0,272,294,92.5,43,76,56.6,0,0.0,0.1,0.0,2,23,2,0,29,Midfielder,Defender,La Liga
Mamadou Diakhon,FRA,Reims,17,2005,2.3,38,48,79.2,646,131,13,16,81.3,19,25,76.0,3,4,75.0,0,0.2,0.4,-0.2,1,1,0,0,1,Midfielder,Forward,Ligue 1
Bafodé Diakité,FRA,Lille,22,2001,18.8,1206,1311,92.0,20793,7113,503,545,92.3,596,633,94.2,77,92,83.7,2,1.4,0.7,+0.6,13,91,1,0,95,,Defender,Ligue 1
Ibrahim Diakité,GUI,Reims,19,2003,1.2,57,85,67.1,894,329,28,39,71.8,19,28,67.9,6,9,66.7,0,0.2,0.1,-0.2,2,6,2,1,7,,Defender,Ligue 1
Moussa Diakité,MLI,Cádiz,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,Midfielder,La Liga
Oumar Diakité,CIV,Reims,19,2003,17.6,239,305,78.4,3219,504,132,161,82.0,89,107,83.2,2,6,33.3,1,1.3,1.3,-0.3,15,16,8,0,28,,Forward,Ligue 1
Amad Diallo,CIV,Manchester Utd,21,2002,4.3,149,170,87.6,1931,279,105,115,91.3,32,37,86.5,4,5,80.0,1,1.1,0.5,-0.1,10,6,3,0,10,Midfielder,Forward,Premier League
Amadou Diallo,ENG,Newcastle Utd,20,2003,0.0,1,1,100.0,10,0,1,1,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,Midfielder,Premier League
Assane Diao,ESP,Betis,17,2005,11.6,200,264,75.8,2297,410,140,164,85.4,35,47,74.5,7,9,77.8,0,0.7,0.8,-0.7,10,4,6,1,20,,Forward,La Liga
Habib Diarra,SEN,Strasbourg,19,2004,25.6,735,874,84.1,14234,2751,275,326,84.4,350,394,88.8,100,129,77.5,1,1.3,1.8,-0.3,21,73,23,1,107,Forward,Midfielder,Ligue 1
Moussa Diarra,MLI,Toulouse,22,2000,15.5,550,680,80.9,9600,3899,223,266,83.8,282,326,86.5,34,57,59.6,2,1.1,0.9,+0.9,10,56,19,4,70,,Defender,Ligue 1
Rúben Dias,POR,Manchester City,26,1997,28.4,2469,2635,93.7,42764,13568,1039,1076,96.6,1256,1306,96.2,146,204,71.6,0,0.3,1.9,-0.3,7,220,12,3,173,,Defender,Premier League
Krépin Diatta,SEN,Monaco,24,1999,13.4,602,787,76.5,9825,3682,294,352,83.5,245,315,77.8,41,76,53.9,2,1.8,2.2,+0.2,23,46,22,5,80,Forward,Defender,Ligue 1
Mory Diaw,SEN,Clermont Foot,30,1993,30.0,848,1245,68.1,25299,18226,125,125,100.0,388,401,96.8,325,704,46.2,0,0.1,0.1,-0.1,2,35,1,0,1,,Goalkeeper,Ligue 1
Mahamadou Diawara,FRA,Lyon,18,2005,4.0,125,147,85.0,1886,329,62,69,89.9,46,49,93.9,10,16,62.5,0,0.1,0.2,-0.1,3,8,2,0,20,,Midfielder,Ligue 1
Brahim Díaz,MAR,Real Madrid,23,1999,17.2,624,740,84.3,7892,1835,430,463,92.9,132,170,77.6,23,40,57.5,6,4.4,4.7,+1.6,30,42,34,7,75,Midfielder,Forward,La Liga
Luis Díaz,COL,Liverpool,26,1997,29.2,898,1075,83.5,13772,2931,527,584,90.2,274,320,85.6,68,91,74.7,5,5.7,4.7,-0.7,64,62,45,3,113,,Forward,Premier League
Víctor Díaz,ESP,Granada,35,1988,1.8,47,74,63.5,1009,359,12,15,80.0,28,32,87.5,7,20,35.0,0,0.0,0.0,0.0,0,2,0,0,2,Midfielder,Defender,La Liga
Famara Diedhiou,SEN,Granada,30,1992,1.0,20,41,48.8,278,22,14,22,63.6,3,9,33.3,2,3,66.7,1,0.2,0.2,+0.8,1,0,0,0,0,Midfielder,Forward,La Liga
Justin Diehl,GER,Köln,18,2004,1.9,41,64,64.1,657,189,21,25,84.0,13,20,65.0,5,14,35.7,0,0.2,0.2,-0.2,5,1,2,1,2,Midfielder,Forward,Bundesliga
Bamba Dieng,SEN,Lorient,23,2000,6.1,90,117,76.9,1190,105,55,67,82.1,22,31,71.0,4,5,80.0,1,1.6,0.9,-0.6,8,3,2,0,4,,Forward,Ligue 1
Eric Dier,ENG,Tottenham,29,1994,2.2,125,141,88.7,2070,1037,52,57,91.2,69,72,95.8,3,10,30.0,0,0.0,0.0,0.0,0,3,0,0,3,,Defender,Premier League
Eric Dier,ENG,Bayern Munich,29,1994,13.0,1042,1143,91.2,20714,8102,327,352,92.9,611,639,95.6,102,134,76.1,0,0.1,0.4,-0.1,2,61,1,1,53,,Defender,Bundesliga
Guillaume Dietsch,FRA,Metz,22,2001,0.8,15,26,57.7,522,410,1,1,100.0,5,5,100.0,9,20,45.0,0,0.0,0.0,0.0,0,0,0,0,0,,Goalkeeper,Ligue 1
Florian Dietz,GER,Köln,24,1998,0.8,13,19,68.4,135,12,12,14,85.7,1,2,50.0,0,0,0,0,0.1,0.0,-0.1,2,0,0,0,0,Midfielder,Forward,Bundesliga
Lucas Digne,FRA,Aston Villa,30,1993,26.8,1015,1351,75.1,16244,5595,524,594,88.2,406,529,76.7,66,148,44.6,3,4.1,3.6,-1.1,37,49,34,15,77,,Defender,Premier League
Federico Dimarco,ITA,Inter,25,1997,23.1,1027,1328,77.3,17596,5513,495,541,91.5,390,491,79.4,111,211,52.6,6,8.5,7.5,-2.5,61,60,57,30,100,,Defender,Serie A
Stole Dimitrievski,MKD,Rayo Vallecano,29,1993,37.0,732,1198,61.1,22043,16649,128,129,99.2,326,333,97.9,275,730,37.7,0,0.1,0.1,-0.1,2,28,0,0,0,,Goalkeeper,La Liga
Junior Dina Ebimbe,FRA,Eint Frankfurt,22,2000,21.7,715,935,76.5,10995,2999,379,451,84.0,275,343,80.2,38,65,58.5,3,2.9,3.7,+0.1,20,62,19,3,79,Defender,Midfielder,Bundesliga
Eren Dinkçi,GER,Heidenheim,21,2001,29.4,508,819,62.0,8305,3108,257,360,71.4,181,266,68.0,46,86,53.5,5,3.7,3.7,+1.3,36,65,33,15,89,Midfielder,Forward,Bundesliga
Sinaly Diomande,CIV,Lyon,22,2001,9.9,521,570,91.4,9695,3841,175,184,95.1,288,302,95.4,46,64,71.9,0,0.7,0.4,-0.7,3,34,2,1,43,,Defender,Ligue 1
Edan Diop,FRA,Monaco,18,2004,1.8,71,97,73.2,1270,460,29,36,80.6,30,40,75.0,8,13,61.5,0,0.0,0.0,0.0,0,9,1,0,7,Defender,Midfielder,Ligue 1
Issa Diop,FRA,Fulham,26,1997,15.8,950,1080,88.0,17646,6371,333,358,93.0,555,594,93.4,53,98,54.1,0,0.0,0.4,0.0,0,60,3,0,66,,Defender,Premier League
Sofiane Diop,FRA,Nice,23,2000,5.5,143,176,81.3,2076,491,76,88,86.4,52,62,83.9,5,9,55.6,0,0.8,0.9,-0.8,8,7,7,2,17,,Forward,Ligue 1
Andy Diouf,FRA,Lens,20,2003,14.6,591,737,80.2,8535,2144,316,369,85.6,216,251,86.1,25,50,50.0,0,1.1,1.7,-1.1,21,46,14,0,80,,Midfielder,Ligue 1
Yehvann Diouf,FRA,Reims,23,1999,34.0,1020,1301,78.4,25982,16947,191,194,98.5,529,543,97.4,296,549,53.9,0,0.0,0.0,0.0,0,9,0,0,3,,Goalkeeper,Ligue 1
Axel Disasi,FRA,Chelsea,25,1998,28.7,2031,2256,90.0,34081,11464,877,913,96.1,1050,1124,93.4,86,168,51.2,0,0.3,1.0,-0.3,3,115,8,1,112,,Defender,Premier League
Tiago Djaló,POR,Juventus,23,2000,0.2,12,13,92.3,232,68,3,3,100.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,,Defender,Serie A
Chaim El Djebali,TUN,Lyon,19,2004,0.1,7,9,77.8,120,23,3,3,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2,,Midfielder,Ligue 1
Djené,TOG,Getafe,31,1991,27.6,861,1121,76.8,15810,5814,335,386,86.8,415,505,82.2,92,182,50.5,0,0.3,0.7,-0.3,7,64,11,5,98,Midfielder,Defender,La Liga
Koffi Djidji,CIV,Torino,30,1992,8.4,372,434,85.7,6282,2034,154,171,90.1,186,202,92.1,24,44,54.5,0,0.0,0.1,0.0,0,17,0,0,19,,Defender,Serie A
Berat Djimsiti,ALB,Atalanta,30,1993,31.5,1454,1661,87.5,27563,8404,488,555,87.9,808,870,92.9,136,187,72.7,1,0.7,0.5,+0.3,7,40,5,1,79,,Defender,Serie A
Marko Dmitrović,SRB,Sevilla,31,1992,13.0,292,394,74.1,7811,5954,65,65,100.0,152,153,99.3,74,174,42.5,0,0.0,0.0,0.0,1,8,0,0,1,,Goalkeeper,La Liga
Ben Doak,SCO,Liverpool,17,2005,0.2,4,4,100.0,45,8,4,4,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,Forward,Premier League
Ritsu Doan,JPN,Freiburg,25,1998,25.0,504,713,70.7,7391,2663,310,367,84.5,151,210,71.9,27,79,34.2,2,3.1,4.2,-1.1,31,49,22,4,78,Midfielder,Defender,Bundesliga
Lewis Dobbin,ENG,Everton,20,2003,2.6,44,65,67.7,537,95,32,36,88.9,9,17,52.9,2,5,40.0,0,0.5,0.1,-0.5,4,0,3,1,3,,Midfielder,Premier League
Dodô,BRA,Fiorentina,24,1998,5.8,278,347,80.1,5196,1670,105,120,87.5,141,168,83.9,29,42,69.0,0,0.8,0.6,-0.8,10,25,9,3,39,,Defender,Serie A
Danilho Doekhi,NED,Union Berlin,25,1998,24.0,738,919,80.3,13735,5232,273,311,87.8,379,434,87.3,72,146,49.3,0,0.2,1.0,-0.2,4,67,9,1,65,,Defender,Bundesliga
Matt Doherty,IRL,Wolves,31,1992,12.8,515,653,78.9,7798,2105,296,348,85.1,174,212,82.1,31,55,56.4,0,1.3,0.9,-1.3,12,22,7,1,31,Midfielder,Defender,Premier League
Josh Doig,SCO,Hellas Verona,21,2002,9.2,251,338,74.3,4528,1565,103,123,83.7,119,143,83.2,24,50,48.0,0,0.3,0.4,-0.3,5,15,5,4,15,,Defender,Serie A
Josh Doig,SCO,Sassuolo,21,2002,14.9,404,591,68.4,6365,2717,233,264,88.3,136,204,66.7,26,86,30.2,2,1.1,0.7,+0.9,14,39,9,7,33,,Defender,Serie A
Jeremy Doku,BEL,Manchester City,21,2002,17.7,693,852,81.3,9699,1538,452,507,89.2,198,254,78.0,26,33,78.8,8,4.6,5.9,+3.4,45,14,40,7,57,Midfielder,Forward,Premier League
Jeremy Doku,BEL,Rennes,21,2002,1.2,43,49,87.8,623,133,25,29,86.2,15,16,93.8,2,2,100.0,0,0.2,0.6,-0.2,3,0,3,1,5,,Forward,Ligue 1
Jaume Doménech,ESP,Valencia,32,1990,0.9,13,31,41.9,370,283,2,2,100.0,6,6,100.0,5,23,21.7,0,0.0,0.0,0.0,0,0,0,0,0,,Goalkeeper,La Liga
Carlos Dominguez,ESP,Celta Vigo,22,2001,17.6,681,864,78.8,12595,4749,257,302,85.1,353,398,88.7,63,134,47.0,0,0.1,0.3,-0.1,3,72,3,0,63,,Defender,La Liga
Mario Dominguez,ESP,Valencia,19,2004,0.3,4,5,80.0,56,22,2,2,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,,Forward,La Liga
Nicolás Domínguez,ARG,Nott'ham Forest,25,1998,16.6,714,843,84.7,10894,3223,380,424,89.6,254,298,85.2,45,61,73.8,2,1.0,1.3,+1.0,10,61,16,1,91,Forward,Midfielder,Premier League
Nicolás Domínguez,ARG,Bologna,25,1998,1.1,83,92,90.2,1276,370,45,49,91.8,36,40,90.0,2,2,100.0,0,0.0,0.1,0.0,1,5,1,0,9,,Midfielder,Serie A
Giulio Donati,ITA,Monza,33,1990,0.4,38,46,82.6,656,213,18,21,85.7,18,21,85.7,2,3,66.7,0,0.2,0.2,-0.2,3,0,1,1,3,,Defender,Serie A
Jamie Donley,ENG,Tottenham,18,2005,0.0,1,1,100.0,14,0,1,1,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,Forward,Premier League
Gianluigi Donnarumma,ITA,Paris S-G,24,1999,24.1,686,773,88.7,14587,8096,177,178,99.4,399,406,98.3,107,185,57.8,0,0.0,0.0,0.0,0,2,0,0,0,,Goalkeeper,Ligue 1
Patrick Dorgu,DEN,Lecce,18,2004,17.4,582,729,79.8,9119,2695,305,338,90.2,215,266,80.8,40,77,51.9,0,1.6,0.7,-1.6,18,31,13,7,49,Midfielder,Defender,Serie A
Niklas Dorsch,GER,Augsburg,25,1998,15.4,545,628,86.8,9719,2395,230,248,92.7,264,288,91.7,45,75,60.0,0,0.1,0.3,-0.1,3,41,2,1,47,,Midfielder,Bundesliga
Alberto Dossena,ITA,Cagliari,24,1998,33.1,1042,1305,79.8,22274,7809,279,324,86.1,597,680,87.8,158,271,58.3,4,2.1,1.3,+1.9,12,71,4,0,89,,Defender,Serie A
Carlos Dotor,ESP,Celta Vigo,22,2001,7.9,289,350,82.6,4289,997,167,185,90.3,94,115,81.7,15,24,62.5,0,0.1,0.3,-0.1,1,26,3,1,30,,Midfielder,La Liga
Abdoulaye Doucouré,MLI,Everton,30,1993,29.2,683,893,76.5,9807,2329,381,453,84.1,239,288,83.0,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97,Midfielder,Forward,Premier League
Cheick Doucouré,MLI,Crystal Palace,23,2000,10.2,367,422,87.0,5725,1849,200,222,90.1,146,165,88.5,18,24,75.0,0,0.7,0.8,-0.7,10,39,5,0,49,,Midfielder,Premier League
Siriné Doucouré,MLI,Lorient,21,2002,4.7,71,94,75.5,913,208,44,54,81.5,15,22,68.2,4,7,57.1,3,1.3,0.6,+1.7,10,4,1,0,5,,Forward,Ligue 1
Désiré Doué,FRA,Rennes,18,2005,18.1,576,779,73.9,9991,3047,268,333,80.5,226,291,77.7,63,106,59.4,4,3.7,3.7,+0.3,31,64,45,8,121,Forward,Midfielder,Ligue 1
Guela Doué,CIV,Rennes,20,2002,13.7,502,669,75.0,9050,2831,202,240,84.2,229,297,77.1,55,100,55.0,2,1.1,1.4,+0.9,17,47,13,6,53,,Defender,Ligue 1
Alfie Doughty,ENG,Luton Town,23,1999,32.5,1121,1686,66.5,20956,8325,496,571,86.9,431,571,75.5,166,426,39.0,8,6.3,5.4,+1.7,70,71,43,24,106,,Defender,Premier League
Douglas,BRA,Nantes,26,1997,19.7,904,1040,86.9,15549,4365,396,439,90.2,390,431,90.5,82,118,69.5,0,1.1,1.6,-1.1,17,85,11,1,105,,Midfielder,Ligue 1
Ismaël Doukouré,FRA,Strasbourg,20,2003,18.4,660,771,85.6,12844,3733,237,276,85.9,341,367,92.9,75,108,69.4,0,0.2,0.4,-0.2,9,62,5,0,80,Defender,Midfielder,Ligue 1
Kamory Doumbia,MLI,Brest,20,2003,9.8,420,487,86.2,6341,1497,213,234,91.0,161,184,87.5,23,34,67.6,5,0.9,0.7,+4.1,12,42,6,0,48,,Midfielder,Ligue 1
Anastasios Douvikas,GRE,Celta Vigo,23,1999,10.1,105,166,63.3,1387,216,63,91,69.2,29,45,64.4,4,7,57.1,1,1.3,0.6,-0.3,8,7,6,1,13,,Forward,La Liga
Artem Dovbyk,UKR,Girona,26,1997,28.7,277,392,70.7,3272,471,186,235,79.1,62,89,69.7,5,6,83.3,8,6.2,3.7,+1.8,27,9,10,0,26,,Forward,La Liga
Nikola Dovedan,AUT,Heidenheim,29,1994,7.3,125,204,61.3,2162,589,60,84,71.4,50,69,72.5,10,27,37.0,1,0.6,0.8,+0.4,8,12,3,0,22,Forward,Midfielder,Bundesliga
Damion Downs,GER,Köln,19,2004,2.0,24,36,66.7,316,48,14,18,77.8,3,5,60.0,3,4,75.0,0,0.0,0.1,0.0,0,0,1,1,0,Midfielder,Forward,Bundesliga
Tommy Doyle,ENG,Wolves,21,2001,13.6,801,955,83.9,15164,4208,309,331,93.4,361,399,90.5,106,178,59.6,0,0.4,0.9,-0.4,8,86,7,2,81,,Midfielder,Premier League
Radu Drăgușin,ROU,Tottenham,21,2002,4.8,326,370,88.1,5633,1782,130,148,87.8,185,198,93.4,8,16,50.0,0,0.0,0.0,0.0,0,10,0,0,8,,Defender,Premier League
Radu Drăgușin,ROU,Genoa,21,2002,19.0,592,721,82.1,10460,3372,233,270,86.3,308,343,89.8,41,83,49.4,1,0.8,0.9,+0.2,7,22,2,0,29,,Defender,Serie A
Dion Drena Beljo,CRO,Augsburg,21,2002,6.5,115,160,71.9,1717,335,55,77,71.4,47,59,79.7,4,6,66.7,0,0.5,0.8,-0.5,8,5,8,1,20,Midfielder,Forward,Bundesliga
Tim Drexler,GER,Hoffenheim,18,2005,6.4,315,349,90.3,5021,1532,158,168,94.0,141,148,95.3,11,22,50.0,0,0.0,0.0,0.0,1,14,0,0,12,,Defender,Bundesliga
Domingos Duarte,POR,Getafe,28,1995,10.1,294,380,77.4,6753,2583,67,87,77.0,168,201,83.6,59,85,69.4,0,0.1,0.1,-0.1,2,40,1,1,47,,Defender,La Liga
Rubén Duarte,ESP,Alavés,27,1995,20.9,566,827,68.4,11070,5341,226,262,86.3,254,331,76.7,80,198,40.4,1,1.5,1.5,-0.5,17,58,15,10,81,,Defender,La Liga
Martin Dúbravka,SVK,Newcastle Utd,34,1989,22.1,519,651,79.7,11869,6941,133,135,98.5,273,278,98.2,109,232,47.0,0,0.1,0.0,-0.1,1,1,0,0,0,,Goalkeeper,Premier League
Marvin Ducksch,GER,Werder Bremen,29,1994,30.0,566,950,59.6,9838,3256,273,360,75.8,184,300,61.3,84,203,41.4,9,7.8,6.5,+1.2,58,41,30,2,88,,Forward,Bundesliga
Ondrej Duda,SVK,Hellas Verona,28,1994,27.3,906,1209,74.9,17261,5504,379,440,86.1,372,461,80.7,136,250,54.4,4,3.3,3.0,+0.7,53,118,21,4,117,,Midfielder,Serie A
Denzel Dumfries,NED,Inter,27,1996,18.2,614,801,76.7,9956,2925,287,345,83.2,265,335,79.1,41,70,58.6,4,4.9,3.2,-0.9,27,34,29,13,51,,Defender,Serie A
Paul Dummett,WAL,Newcastle Utd,31,1991,0.2,21,23,91.3,320,76,10,10,100.0,11,12,91.7,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,1,,Defender,Premier League
Alfred Duncan,GHA,Fiorentina,30,1993,21.0,800,1030,77.7,15638,4534,309,362,85.4,363,415,87.5,120,202,59.4,5,2.0,2.8,+3.0,36,101,26,11,133,,Midfielder,Serie A
Lewis Dunk,ENG,Brighton,31,1991,31.9,2977,3233,92.1,50791,19478,1343,1382,97.2,1340,1417,94.6,216,340,63.5,1,0.9,2.2,+0.1,13,204,8,1,152,,Defender,Premier League
Jhon Durán,COL,Aston Villa,19,2003,5.3,83,121,68.6,1095,220,51,69,73.9,24,29,82.8,3,5,60.0,0,0.3,0.2,-0.3,4,6,1,0,9,Midfielder,Forward,Premier League
Julien Duranville,BEL,Dortmund,17,2006,0.1,0,4,0.0,0,0,0,0,0,0,3,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Midfielder,Forward,Bundesliga
Hugo Duro,ESP,Valencia,23,1999,33.1,406,570,71.2,5076,712,259,322,80.4,108,151,71.5,7,15,46.7,2,1.3,0.6,+0.7,14,19,4,0,34,,Forward,La Liga
Jean-Kevin Duverne,HAI,Nantes,26,1997,15.0,597,743,80.3,10059,4272,273,302,90.4,263,315,83.5,47,94,50.0,0,0.2,0.3,-0.2,3,45,8,3,64,,Defender,Ligue 1
Paulo Dybala,ARG,Roma,29,1993,21.8,790,1000,79.0,12944,3000,409,461,88.7,272,330,82.4,80,140,57.1,9,4.3,4.0,+4.7,50,67,37,0,122,Midfielder,Forward,Serie A
Aron Dønnum,NOR,Toulouse,25,1998,17.7,428,571,75.0,7389,2129,214,261,82.0,154,197,78.2,49,78,62.8,1,2.1,3.0,-1.1,24,36,23,2,66,Midfielder,Forward,Ligue 1
George Earthy,ENG,West Ham,18,2004,0.4,16,17,94.1,183,43,12,13,92.3,4,4,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,,Forward,Premier League
Simon Ebonog,CMR,Le Havre,18,2004,0.2,17,21,81.0,301,60,10,12,83.3,6,7,85.7,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,1,,Midfielder,Ligue 1
Festy Ebosele,IRL,Udinese,20,2002,18.9,278,419,66.3,4631,1636,140,182,76.9,98,149,65.8,27,51,52.9,0,1.8,1.5,-1.8,15,22,11,5,35,,Defender,Serie A
Enzo Ebosse,CMR,Udinese,24,1999,0.1,12,15,80.0,222,57,4,4,100.0,7,9,77.8,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,,Defender,Serie A
Tyronne Ebuehi,NGA,Empoli,27,1995,12.2,426,570,74.7,6790,2586,233,260,89.6,152,205,74.1,29,66,43.9,1,0.9,0.6,+0.1,11,22,9,4,37,,Defender,Serie A
Ederson,BRA,Manchester City,29,1993,30.9,1077,1234,87.3,25898,17578,275,276,99.6,560,570,98.2,239,381,62.7,0,0.1,0.1,-0.1,1,25,1,0,4,,Goalkeeper,Premier League
Éderson,BRA,Atalanta,24,1999,31.9,1390,1662,83.6,25167,8622,549,632,86.9,685,756,90.6,130,191,68.1,1,1.4,2.3,-0.4,18,180,40,5,214,,Midfielder,Serie A
Odsonne Édouard,FRA,Crystal Palace,25,1998,17.3,249,350,71.1,3106,704,164,207,79.2,61,80,76.3,7,11,63.6,0,1.2,1.1,-1.2,18,12,15,1,36,Midfielder,Forward,Premier League
John Egan,IRL,Sheffield Utd,30,1992,5.4,128,185,69.2,2449,988,38,49,77.6,79,92,85.9,9,38,23.7,0,0.0,0.0,0.0,0,5,1,0,5,,Defender,Premier League
Maximilian Eggestein,GER,Freiburg,26,1996,32.4,1080,1330,81.2,16943,5068,528,611,86.4,463,523,88.5,55,82,67.1,2,2.8,2.4,-0.8,25,103,20,1,162,,Midfielder,Bundesliga
Lilian Egloff,GER,Stuttgart,20,2002,1.2,32,41,78.0,481,131,16,17,94.1,11,15,73.3,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Defender,Midfielder,Bundesliga
Kingsley Ehizibue,NED,Udinese,28,1995,10.6,175,257,68.1,2722,928,100,119,84.0,57,84,67.9,11,25,44.0,1,0.7,0.5,+0.3,8,10,7,5,15,,Defender,Serie A
Hjalmar Ekdal,SWE,Burnley,24,1998,4.9,191,217,88.0,3404,938,66,71,93.0,109,120,90.8,12,17,70.6,0,0.1,0.0,-0.1,1,8,0,0,11,,Defender,Premier League
Hugo Ekitike,FRA,Paris S-G,21,2002,0.1,7,8,87.5,60,17,5,5,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,0,1,,Forward,Ligue 1
Hugo Ekitike,FRA,Eint Frankfurt,21,2002,8.0,131,193,67.9,1934,348,77,110,70.0,38,49,77.6,11,13,84.6,2,1.7,1.5,+0.3,12,13,3,1,9,,Forward,Bundesliga
Emmanuel Ekong,SWE,Empoli,21,2002,0.1,1,1,100.0,12,0,1,1,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,,Forward,Serie A
Caleb Ekuban,GHA,Genoa,29,1994,12.6,138,211,65.4,1854,476,84,106,79.2,34,57,59.6,10,16,62.5,1,1.4,0.7,-0.4,16,8,6,0,15,,Forward,Serie A
