Player,Nation,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Position_2,Position,League
Jens Cajuste,SWE,Napoli,23,1999,11.3,0,16,3,18.8,1.42,0.27,0.00,0.00,16.5,0,0,0,1.5,1.5,0.09,-1.5,-1.5,,Midfielder,Serie A
Davide Calabria,ITA,Milan,26,1996,24.3,1,21,8,38.1,0.86,0.33,0.05,0.13,18.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3,,Defender,Serie A
Riccardo Calafiori,ITA,Bologna,21,2002,26.1,2,17,6,35.3,0.65,0.23,0.12,0.33,17.9,0,0,0,1.4,1.4,0.08,+0.6,+0.6,,Defender,Serie A
Mattia Caldara,ITA,Milan,29,1994,0.4,0,1,0,0.0,2.73,0.00,0.00,0,5.4,0,0,0,0.2,0.2,0.21,-0.2,-0.2,,Defender,Serie A
Luca Caldirola,ITA,Monza,32,1991,23.8,1,9,2,22.2,0.38,0.08,0.11,0.50,10.8,0,0,0,0.5,0.5,0.05,+0.5,+0.5,,Defender,Serie A
Duje Ćaleta-Car,CRO,Lyon,26,1996,22.1,0,7,1,14.3,0.32,0.05,0.00,0.00,10.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,,Defender,Ligue 1
Hakan Çalhanoğlu,TUR,Inter,29,1994,28.4,13,52,13,25.0,1.83,0.46,0.06,0.23,29.5,12,10,10,10.1,2.3,0.04,+2.9,+0.7,,Midfielder,Serie A
José Callejón,ESP,Granada,36,1987,8.9,0,12,4,33.3,1.34,0.45,0.00,0.00,14.5,1,0,0,1.3,1.3,0.11,-1.3,-1.3,Forward,Midfielder,La Liga
Dominic Calvert-Lewin,ENG,Everton,26,1997,24.1,7,71,28,39.4,2.94,1.16,0.07,0.18,13.9,1,2,2,12.9,11.4,0.16,-5.9,-6.4,,Forward,Premier League
Lamine Camara,SEN,Metz,19,2004,25.1,1,29,8,27.6,1.16,0.32,0.03,0.13,28.4,4,0,1,2.2,1.4,0.05,-1.2,-0.4,,Midfielder,Ligue 1
Mahdi Camara,FRA,Brest,25,1998,22.4,7,41,13,31.7,1.83,0.58,0.15,0.46,16.6,0,1,1,4.9,4.1,0.10,+2.1,+1.9,,Midfielder,Ligue 1
Mohamed Camara,MLI,Monaco,23,2000,11.5,1,13,3,23.1,1.13,0.26,0.00,0.00,26.0,0,1,1,1.5,0.7,0.05,-0.5,-0.7,,Midfielder,Ligue 1
Francesco Camarda,ITA,Milan,15,2008,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Serie A
Eduardo Camavinga,FRA,Real Madrid,20,2002,20.2,0,17,7,41.2,0.84,0.35,0.00,0.00,22.7,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Defender,Midfielder,La Liga
Nicolò Cambiaghi,ITA,Empoli,22,2000,28.4,1,71,17,23.9,2.50,0.60,0.01,0.06,19.8,0,0,0,3.9,3.9,0.05,-2.9,-2.9,Midfielder,Forward,Serie A
Andrea Cambiaso,ITA,Juventus,23,2000,26.4,2,29,8,27.6,1.10,0.30,0.07,0.25,18.6,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Forward,Defender,Serie A
Axel Camblan,FRA,Brest,19,2003,1.0,0,2,0,0.0,2.00,0.00,0.00,0,9.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,,Forward,Ligue 1
Sergio Camello,ESP,Rayo Vallecano,22,2001,18.5,3,33,13,39.4,1.79,0.70,0.09,0.23,15.6,0,0,0,4.5,4.5,0.14,-1.5,-1.5,,Forward,La Liga
José Campaña,ESP,Las Palmas,30,1993,1.9,0,1,0,0.0,0.53,0.00,0.00,0,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0,,Midfielder,La Liga
Emre Can,GER,Dortmund,29,1994,21.7,2,15,1,6.7,0.69,0.05,0.00,0.00,27.4,0,2,2,2.2,0.6,0.04,-0.2,-0.6,Defender,Midfielder,Bundesliga
Matteo Cancellieri,ITA,Empoli,21,2002,19.9,4,40,12,30.0,2.01,0.60,0.10,0.33,16.6,1,0,0,4.7,4.7,0.12,-0.7,-0.7,Midfielder,Forward,Serie A
João Cancelo,POR,Barcelona,29,1994,27.8,2,32,9,28.1,1.15,0.32,0.06,0.22,21.3,0,0,0,1.6,1.6,0.05,+0.4,+0.4,,Defender,La Liga
Fali Candé,GNB,Metz,25,1998,20.5,0,13,7,53.8,0.63,0.34,0.00,0.00,21.4,2,0,0,0.8,0.8,0.06,-0.8,-0.8,,Defender,Ligue 1
Antonio Candreva,ITA,Salernitana,36,1987,30.6,6,64,20,31.3,2.09,0.65,0.08,0.25,21.2,3,1,1,4.9,4.1,0.06,+1.1,+0.9,Forward,Midfielder,Serie A
Thomas Cannon,IRL,Everton,20,2002,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Premier League
Sergi Canós,ESP,Valencia,26,1997,13.7,1,43,17,39.5,3.15,1.24,0.02,0.06,21.4,0,0,0,2.8,2.8,0.07,-1.8,-1.8,Forward,Midfielder,La Liga
Luigi Canotto,ITA,Frosinone,29,1994,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Serie A
Gino Caoki,FRA,Lorient,19,2004,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Ligue 1
Étienne Capoue,FRA,Villarreal,35,1988,16.2,1,14,5,35.7,0.87,0.31,0.07,0.20,15.0,0,0,0,1.0,1.0,0.07,0.0,0.0,,Midfielder,La Liga
Gianluca Caprari,ITA,Monza,30,1993,3.2,0,8,0,0.0,2.53,0.00,0.00,0,19.6,1,0,0,0.7,0.7,0.09,-0.7,-0.7,Forward,Midfielder,Serie A
Elia Caprile,ITA,Empoli,21,2001,23.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
Francesco Caputo,ITA,Empoli,35,1987,14.1,3,22,9,40.9,1.56,0.64,0.09,0.22,11.7,0,1,1,3.4,2.6,0.12,-0.4,-0.6,,Forward,Serie A
Maxence Caqueret,FRA,Lyon,23,2000,33.6,1,24,9,37.5,0.71,0.27,0.04,0.11,20.9,0,0,0,2.1,2.1,0.09,-1.1,-1.1,,Midfielder,Ligue 1
Andrea Carboni,ITA,Monza,22,2001,16.5,1,18,4,22.2,1.09,0.24,0.06,0.25,15.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2,,Defender,Serie A
Valentin Carboni,ARG,Monza,18,2005,13.0,2,23,7,30.4,1.77,0.54,0.09,0.29,18.3,0,0,0,2.3,2.3,0.10,-0.3,-0.3,Forward,Midfielder,Serie A
Isaac Carcelen,ESP,Cádiz,30,1993,29.0,0,10,3,30.0,0.34,0.10,0.00,0.00,20.2,1,0,0,0.6,0.6,0.06,-0.6,-0.6,,Defender,La Liga
Cárdenas,ESP,Rayo Vallecano,26,1997,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,La Liga
Irvin Cardona,FRA,Augsburg,25,1997,0.6,0,3,0,0.0,5.00,0.00,0.00,0,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Defender,Midfielder,Bundesliga
Marc Cardona,ESP,Las Palmas,28,1995,8.0,4,21,10,47.6,2.61,1.24,0.14,0.30,14.3,0,1,1,4.2,3.5,0.16,-0.2,-0.5,,Forward,La Liga
Sergi Cardona,ESP,Las Palmas,24,1999,31.3,1,26,5,19.2,0.83,0.16,0.04,0.20,13.9,0,0,0,2.7,2.7,0.10,-1.7,-1.7,,Defender,La Liga
Johnny Cardoso,USA,Betis,21,2001,14.8,1,12,3,25.0,0.81,0.20,0.08,0.33,18.3,0,0,0,1.1,1.1,0.09,-0.1,-0.1,,Midfielder,La Liga
Igor Carioca,BRA,Lorient,26,1996,2.9,0,1,0,0.0,0.34,0.00,0.00,0,19.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Midfielder,Defender,Ligue 1
Diego Carlos,BRA,Aston Villa,30,1993,20.2,0,10,1,10.0,0.50,0.05,0.00,0.00,9.1,0,0,0,1.9,1.9,0.19,-1.9,-1.9,,Defender,Premier League
Carmona,ESP,Getafe,21,2002,14.6,1,12,3,25.0,0.82,0.21,0.08,0.33,16.8,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Midfielder,Defender,La Liga
Marco Carnesecchi,ITA,Atalanta,23,2000,26.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
Yannick Carrasco,BEL,Atlético Madrid,29,1993,2.5,0,2,1,50.0,0.81,0.41,0.00,0.00,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Defender,La Liga
Álvaro Carreras,ESP,Granada,20,2003,5.3,0,7,1,14.3,1.33,0.19,0.00,0.00,12.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Forward,Midfielder,La Liga
Rasmus Carstensen,DEN,Köln,22,2000,18.4,0,10,4,40.0,0.54,0.22,0.00,0.00,15.1,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Forward,Defender,Bundesliga
Antonin Cartillier,FRA,Monaco,19,2004,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Ligue 1
Dani Carvajal,ESP,Real Madrid,31,1992,24.1,4,18,10,55.6,0.75,0.41,0.22,0.40,14.3,0,0,0,1.7,1.7,0.10,+2.3,+2.3,,Defender,La Liga
Fabio Carvalho,POR,RB Leipzig,20,2002,1.8,0,3,2,66.7,1.64,1.09,0.00,0.00,14.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,,Midfielder,Bundesliga
William Carvalho,POR,Betis,31,1992,7.6,1,8,3,37.5,1.06,0.40,0.13,0.33,24.0,0,0,0,0.4,0.4,0.05,+0.6,+0.6,,Midfielder,La Liga
Cesare Casadei,ITA,Chelsea,20,2003,0.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Midfielder,Forward,Premier League
Marc Casado,ESP,Barcelona,19,2003,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,La Liga
Nicolò Casale,ITA,Lazio,25,1998,17.3,0,7,1,14.3,0.40,0.06,0.00,0.00,16.4,0,0,0,0.9,0.9,0.12,-0.9,-0.9,,Defender,Serie A
Casemiro,BRA,Manchester Utd,31,1992,22.0,1,39,9,23.1,1.77,0.41,0.03,0.11,17.1,1,0,0,3.5,3.5,0.09,-2.5,-2.5,Defender,Midfielder,Premier League
Kaelan Casey,ENG,West Ham,18,2004,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Premier League
Matty Cash,POL,Aston Villa,25,1997,23.8,2,33,13,39.4,1.39,0.55,0.06,0.15,16.2,0,0,0,4.2,4.2,0.13,-2.2,-2.2,,Defender,Premier League
Josué Casimir,FRA,Le Havre,21,2001,22.4,0,22,4,18.2,0.98,0.18,0.00,0.00,18.3,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Defender,Forward,Ligue 1
Giuseppe Caso,ITA,Frosinone,24,1998,4.6,0,7,4,57.1,1.51,0.86,0.00,0.00,19.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Midfielder,Forward,Serie A
Cristian Cásseres Jr.,VEN,Toulouse,23,2000,21.6,1,15,3,20.0,0.69,0.14,0.07,0.33,18.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1,,Midfielder,Ligue 1
Timothy Castagne,BEL,Fulham,27,1995,29.3,1,14,4,28.6,0.48,0.14,0.07,0.25,11.3,0,0,0,1.6,1.6,0.12,-0.6,-0.6,,Defender,Premier League
Koen Casteels,BEL,Wolfsburg,31,1992,25.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Bundesliga
Valentín Castellanos,ARG,Lazio,24,1998,18.7,4,54,19,35.2,2.89,1.02,0.07,0.21,13.3,1,0,0,7.3,7.3,0.14,-3.3,-3.3,,Forward,Serie A
Jean-Charles Castelletto,CMR,Nantes,28,1995,27.4,2,10,6,60.0,0.37,0.22,0.20,0.33,12.1,0,0,0,0.6,0.6,0.06,+1.4,+1.4,,Defender,Ligue 1
Samu Castillejo,ESP,Sassuolo,28,1995,6.0,0,6,2,33.3,1.01,0.34,0.00,0.00,16.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Midfielder,Forward,Serie A
Jonny Castro,ESP,Wolves,29,1994,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Premier League
Santiago Castro,ARG,Bologna,18,2004,2.7,1,7,3,42.9,2.60,1.12,0.14,0.33,19.6,0,0,0,1.0,1.0,0.14,0.0,0.0,,Forward,Serie A
Gaetano Castrovilli,ITA,Fiorentina,26,1997,4.1,1,5,2,40.0,1.23,0.49,0.20,0.50,14.9,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Midfielder,Forward,Serie A
Danilo Cataldi,ITA,Lazio,28,1994,15.1,1,12,2,16.7,0.79,0.13,0.08,0.50,27.8,0,0,0,0.4,0.4,0.03,+0.6,+0.6,,Midfielder,Serie A
Catena,ESP,Osasuna,28,1994,28.2,1,18,5,27.8,0.64,0.18,0.06,0.20,13.3,1,0,0,1.3,1.3,0.07,-0.3,-0.3,,Defender,La Liga
Maximiliano Caufriez,BEL,Clermont Foot,26,1997,18.4,0,6,1,16.7,0.33,0.05,0.00,0.00,17.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,,Defender,Ligue 1
Ivan Cavaleiro,POR,Lille,29,1993,8.6,1,11,3,27.3,1.29,0.35,0.09,0.33,13.4,0,0,0,1.3,1.3,0.12,-0.3,-0.3,,Forward,Ligue 1
Dani Ceballos,ESP,Real Madrid,26,1996,6.6,0,7,1,14.3,1.05,0.15,0.00,0.00,18.4,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Forward,Midfielder,La Liga
Emil Ceide,NOR,Sassuolo,21,2001,2.0,0,2,0,0.0,1.02,0.00,0.00,0,20.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Midfielder,Forward,Serie A
Zeki Çelik,TUR,Roma,26,1997,7.5,0,2,1,50.0,0.27,0.13,0.00,0.00,11.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,,Defender,Serie A
Álex Centelles,ESP,Almería,25,1997,10.9,0,2,1,50.0,0.18,0.09,0.00,0.00,21.2,0,0,0,0.0,0.0,0.02,0.0,0.0,,Defender,La Liga
Fabien Centonze,FRA,Hellas Verona,27,1996,7.5,0,1,0,0.0,0.13,0.00,0.00,0,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,,Defender,Serie A
Fabien Centonze,FRA,Nantes,27,1996,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Ligue 1
Václav Černý,CZE,Wolfsburg,25,1997,10.2,4,20,5,25.0,1.95,0.49,0.20,0.80,15.2,0,0,0,2.3,2.3,0.11,+1.7,+1.7,Midfielder,Forward,Bundesliga
Michele Cerofolini,ITA,Frosinone,24,1999,7.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
Alberto Cerri,ITA,Empoli,27,1996,6.1,1,10,3,30.0,1.65,0.50,0.10,0.33,10.8,0,0,0,1.2,1.2,0.12,-0.2,-0.2,,Forward,Serie A
Leonardo Cerri,ITA,Juventus,20,2003,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Serie A
Franco Cervi,ARG,Celta Vigo,29,1994,6.1,0,8,1,12.5,1.32,0.16,0.00,0.00,19.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Defender,Midfielder,La Liga
Julian Chabot,GER,Köln,25,1998,30.0,0,19,3,15.8,0.63,0.10,0.00,0.00,11.0,0,0,0,1.4,1.4,0.07,-1.4,-1.4,,Defender,Bundesliga
El Chadaille Bitshiabu,FRA,RB Leipzig,18,2005,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Midfielder,Defender,Bundesliga
Fares Chaïbi,ALG,Toulouse,20,2002,0.6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Midfielder,Forward,Ligue 1
Fares Chaïbi,ALG,Eint Frankfurt,20,2002,21.2,2,40,14,35.0,1.88,0.66,0.05,0.14,19.1,6,0,0,3.1,3.1,0.08,-1.1,-1.1,Forward,Midfielder,Bundesliga
Trevoh Chalobah,ENG,Chelsea,24,1999,10.6,1,2,2,100.0,0.19,0.19,0.50,0.50,9.5,0,0,0,0.2,0.2,0.10,+0.8,+0.8,,Defender,Premier League
Muhammed Cham,AUT,Clermont Foot,22,2000,28.4,8,69,26,37.7,2.43,0.92,0.06,0.15,22.0,10,4,5,9.4,5.5,0.08,-1.4,-1.5,Forward,Midfielder,Ligue 1
Calum Chambers,ENG,Aston Villa,28,1995,1.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Defender,Midfielder,Premier League
Timothy Chandler,USA,Eint Frankfurt,33,1990,0.2,0,2,1,50.0,10.00,5.00,0.00,0.00,17.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Defender,Midfielder,Bundesliga
Brendan Chardonnet,FRA,Brest,28,1994,33.0,1,18,3,16.7,0.55,0.09,0.06,0.33,11.3,0,0,0,1.5,1.5,0.08,-0.5,-0.5,,Defender,Ligue 1
Charlys,BRA,Hellas Verona,19,2004,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Serie A
Pep Chavarría,ESP,Rayo Vallecano,25,1998,13.0,1,11,2,18.2,0.85,0.15,0.09,0.50,18.3,0,0,0,1.0,1.0,0.09,0.0,0.0,Midfielder,Defender,La Liga
Jhoanner Chávez,ECU,Lens,21,2002,5.3,0,3,0,0.0,0.56,0.00,0.00,0,11.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,,Defender,Ligue 1
Walid Cheddira,MAR,Frosinone,25,1998,23.6,7,59,26,44.1,2.50,1.10,0.10,0.23,14.1,0,1,1,9.0,8.2,0.14,-2.0,-2.2,,Forward,Serie A
Rayan Cherki,FRA,Lyon,19,2003,19.1,1,57,17,29.8,2.98,0.89,0.02,0.06,15.7,1,0,0,5.2,5.2,0.09,-4.2,-4.2,Forward,Midfielder,Ligue 1
Youssef Chermiti,POR,Everton,19,2004,2.3,0,7,2,28.6,3.03,0.87,0.00,0.00,14.6,0,0,0,0.7,0.7,0.10,-0.7,-0.7,,Forward,Premier League
Lucas Chevalier,FRA,Lille,21,2001,33.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Ligue 1
Fabio Chiarodia,ITA,Gladbach,18,2005,1.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Bundesliga
Federico Chiesa,ITA,Juventus,25,1997,24.4,9,74,25,33.8,3.03,1.02,0.11,0.32,19.2,5,1,1,6.4,5.6,0.08,+2.6,+2.4,,Forward,Serie A
Ben Chilwell,ENG,Chelsea,26,1996,8.4,0,12,4,33.3,1.43,0.48,0.00,0.00,16.6,1,0,0,1.2,1.2,0.10,-1.2,-1.2,,Defender,Premier League
Tawanda Chirewa,ZIM,Wolves,19,2003,1.6,0,3,1,33.3,1.86,0.62,0.00,0.00,21.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Forward,Midfielder,Premier League
Pedro Chirivella,ESP,Nantes,26,1997,28.8,1,17,6,35.3,0.59,0.21,0.06,0.17,19.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5,,Midfielder,Ligue 1
Leon Chiwome,ENG,Wolves,17,2006,1.9,0,2,0,0.0,1.03,0.00,0.00,0,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,,Forward,Premier League
Tahith Chong,NED,Luton Town,23,1999,22.0,4,31,7,22.6,1.41,0.32,0.13,0.57,16.6,0,0,0,2.7,2.7,0.09,+1.3,+1.3,Forward,Midfielder,Premier League
Joris Chotard,FRA,Montpellier,21,2001,28.7,0,21,7,33.3,0.73,0.24,0.00,0.00,26.1,0,0,0,0.6,0.6,0.03,-0.6,-0.6,,Midfielder,Ligue 1
Andreas Christensen,DEN,Barcelona,27,1996,22.0,2,12,4,33.3,0.55,0.18,0.17,0.50,13.0,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Midfielder,Defender,La Liga
Jacob Christensen,DEN,Köln,22,2001,2.4,0,1,0,0.0,0.41,0.00,0.00,0,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,,Midfielder,Bundesliga
Oliver Christensen,DEN,Fiorentina,24,1999,4.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
Ryan Christie,SCO,Bournemouth,28,1995,32.3,0,43,13,30.2,1.33,0.40,0.00,0.00,20.0,0,0,0,2.3,2.3,0.05,-2.3,-2.3,,Midfielder,Premier League
Carney Chukwuemeka,ENG,Chelsea,19,2003,2.5,1,3,2,66.7,1.19,0.79,0.33,0.50,19.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Forward,Midfielder,Premier League
Samuel Chukwueze,NGA,Milan,24,1999,11.3,1,28,8,28.6,2.48,0.71,0.04,0.13,17.7,0,0,0,1.7,1.7,0.06,-0.7,-0.7,,Forward,Serie A
Víctor Chust,ESP,Cádiz,23,2000,20.7,0,4,0,0.0,0.19,0.00,0.00,0,9.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,,Defender,La Liga
Pathé Ciss,SEN,Rayo Vallecano,29,1994,18.5,1,22,8,36.4,1.19,0.43,0.05,0.13,23.6,0,0,0,1.5,1.5,0.07,-0.5,-0.5,,Midfielder,La Liga
Alphadjo Cissè,ITA,Hellas Verona,16,2006,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Serie A
Djaoui Cissé,FRA,Rennes,19,2004,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Ligue 1
Ibrahim Cissoko,NED,Toulouse,20,2003,2.7,1,8,4,50.0,2.99,1.49,0.13,0.25,20.2,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Midfielder,Forward,Ligue 1
Giorgio Cittadini,ITA,Monza,21,2002,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Serie A
Giorgio Cittadini,ITA,Genoa,21,2002,1.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Serie A
Patrick Ciurria,ITA,Monza,28,1995,17.8,0,28,7,25.0,1.58,0.39,0.00,0.00,22.6,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Midfielder,Defender,Serie A
Bobby Clark,ENG,Liverpool,18,2005,1.0,0,2,0,0.0,2.02,0.00,0.00,0,18.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,,Midfielder,Premier League
Jordan Clark,ENG,Luton Town,29,1993,14.5,1,17,4,23.5,1.17,0.28,0.06,0.25,16.9,0,0,0,1.0,1.0,0.06,0.0,0.0,,Midfielder,Premier League
Alexis Claude-Maurice,FRA,Nice,25,1998,5.6,0,18,6,33.3,3.21,1.07,0.00,0.00,25.1,1,0,0,0.8,0.8,0.04,-0.8,-0.8,,Midfielder,Ligue 1
Jonathan Clauss,FRA,Marseille,30,1992,23.0,3,28,8,28.6,1.22,0.35,0.11,0.38,23.0,3,0,0,1.3,1.3,0.05,+1.7,+1.7,,Defender,Ligue 1
Silvi Clúa,ESP,Girona,18,2005,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,La Liga
Nathaniel Clyne,ENG,Crystal Palace,32,1991,14.9,0,4,0,0.0,0.27,0.00,0.00,0,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,,Defender,Premier League
Marcus Coco,FRA,Nantes,27,1996,16.5,1,9,2,22.2,0.55,0.12,0.11,0.50,20.0,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Forward,Defender,Ligue 1
Saúl Coco,EQG,Las Palmas,24,1999,25.5,1,20,4,20.0,0.78,0.16,0.05,0.25,25.6,8,0,0,1.1,1.1,0.05,-0.1,-0.1,,Defender,La Liga
Séamus Coleman,IRL,Everton,34,1988,7.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Premier League
Maxime Colin,FRA,Metz,31,1991,20.4,0,6,0,0.0,0.29,0.00,0.00,0,22.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,,Defender,Ligue 1
Nathan Collins,IRL,Brentford,22,2001,29.5,1,10,2,20.0,0.34,0.07,0.10,0.50,9.9,0,0,0,1.7,1.7,0.17,-0.7,-0.7,,Defender,Premier League
Nnamdi Collins,GER,Eint Frankfurt,19,2004,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Bundesliga
Lorenzo Colombo,ITA,Monza,21,2002,15.1,4,37,10,27.0,2.45,0.66,0.11,0.40,17.2,0,0,0,3.6,3.6,0.10,+0.4,+0.4,,Forward,Serie A
Andrea Colpani,ITA,Monza,24,1999,29.5,8,65,19,29.2,2.20,0.64,0.12,0.42,19.9,9,0,0,4.8,4.8,0.07,+3.2,+3.2,Forward,Midfielder,Serie A
Levi Colwill,ENG,Chelsea,20,2003,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,11.9,0,0,0,1.3,1.3,0.12,-0.3,-0.3,,Defender,Premier League
Kingsley Coman,FRA,Bayern Munich,27,1996,12.4,3,34,8,23.5,2.75,0.65,0.09,0.38,17.6,0,0,0,2.8,2.8,0.08,+0.2,+0.2,,Forward,Bundesliga
Eray Cömert,SUI,Nantes,25,1998,22.2,2,9,3,33.3,0.41,0.14,0.22,0.67,17.1,1,0,0,0.7,0.7,0.08,+1.3,+1.3,,Defender,Ligue 1
Santi Comesaña,ESP,Villarreal,26,1996,18.4,2,17,7,41.2,0.93,0.38,0.12,0.29,13.0,0,0,0,1.9,1.9,0.11,+0.1,+0.1,,Midfielder,La Liga
Pietro Comuzzo,ITA,Fiorentina,18,2005,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Forward,Defender,Serie A
Alois Confais,FRA,Le Havre,26,1996,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Forward,Midfielder,Ligue 1
Andrea Consigli,ITA,Sassuolo,36,1987,35.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
Bambasé Conté,GER,Hoffenheim,20,2003,0.5,0,3,0,0.0,5.63,0.00,0.00,0,19.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Forward,Midfielder,Bundesliga
