Player,Nation,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Position_2,Position,League
Michel Aebischer,SUI,Bologna,26,1997,24.8,0,18,5,27.8,0.73,0.20,0.00,0.00,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,,Midfielder,Serie A
Emmanuel Agbadou,CIV,Reims,26,1997,28.8,1,32,5,15.6,1.11,0.17,0.03,0.20,15.1,0,0,0,2.4,2.4,0.07,-1.4,-1.4,,Defender,Ligue 1
Julen Agirrezabala,ESP,Athletic Club,22,2000,2.6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,La Liga
Lucien Agoume,FRA,Inter,21,2002,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Serie A
Lucien Agoume,FRA,Sevilla,21,2002,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,13.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9,,Midfielder,La Liga
Felix Agu,GER,Werder Bremen,23,1999,17.9,0,11,0,0.0,0.61,0.00,0.00,0,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Midfielder,Defender,Bundesliga
Nayef Aguerd,MAR,West Ham,27,1996,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,,Defender,Premier League
Ruben Aguilar,FRA,Lens,30,1993,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,16.1,0,0,0,1.4,1.4,0.12,-0.4,-0.4,,Defender,Ligue 1
Brandon Aguilera,CRC,Nott'ham Forest,20,2003,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Premier League
Naouirou Ahamada,FRA,Crystal Palace,21,2002,3.9,0,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Forward,Midfielder,Premier League
Anel Ahmedhodžić,BIH,Sheffield Utd,24,1999,29.4,2,19,5,26.3,0.65,0.17,0.11,0.40,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,,Defender,Premier League
Joseph Aidoo,GHA,Celta Vigo,27,1995,4.5,0,3,0,0.0,0.66,0.00,0.00,0,15.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Defender,La Liga
