Player,Nation,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Position_2,Position,League
Wataru Endo,JPN,Liverpool,30,1993,19.1,1514,48,295,1002,224,9,1514,16,10,62.5,5,31.3,890,3465,1523,10,21,2,27,22,1098,21,,Midfielder,Premier League
Arne Engels,BEL,Augsburg,19,2003,15.6,724,25,142,337,249,18,724,11,6,54.5,5,45.5,357,1747,786,23,18,4,15,7,406,62,Defender,Midfielder,Bundesliga
Christian Eriksen,DEN,Manchester Utd,31,1992,12.7,896,27,165,492,246,12,896,6,3,50.0,3,50.0,515,2319,1199,20,21,2,8,14,620,23,,Midfielder,Premier League
Martin Erlic,CRO,Sassuolo,25,1998,29.1,1476,196,700,729,53,15,1476,6,4,66.7,2,33.3,690,3537,2051,19,8,1,10,0,824,11,,Defender,Serie A
Gonzalo Escalante,ARG,Cádiz,30,1993,18.9,907,50,221,549,141,19,907,7,3,42.9,4,57.1,397,1557,679,4,9,0,17,12,511,14,,Midfielder,La Liga
Aarón Escandell,ESP,Las Palmas,27,1995,1.7,88,69,87,1,0,0,88,0,0,0,0,0,42,156,108,0,0,0,0,0,44,0,,Goalkeeper,La Liga
Alfonso Espino,URU,Rayo Vallecano,31,1992,27.9,1740,82,607,801,360,27,1740,50,24,48.0,25,50.0,725,3497,1887,41,26,10,42,18,887,89,,Defender,La Liga
Bernardo Espinosa,COL,Girona,34,1989,0.0,11,4,8,3,0,0,11,0,0,0,0,0,5,11,5,0,0,0,0,0,6,0,,Defender,La Liga
Maxime Estève,FRA,Burnley,21,2002,14.5,979,158,465,463,52,8,979,3,1,33.3,0,0.0,514,2716,1664,15,18,2,5,3,600,3,,Defender,Premier League
Maxime Estève,FRA,Montpellier,21,2002,11.1,493,79,256,218,26,9,493,5,2,40.0,3,60.0,282,1411,699,8,4,1,5,1,249,10,,Defender,Ligue 1
Oscar Estupiñan,COL,Metz,26,1996,2.9,88,0,6,52,30,9,88,2,1,50.0,1,50.0,54,312,105,5,3,0,3,4,62,8,,Forward,Ligue 1
Pervis Estupiñán,ECU,Brighton,25,1998,13.8,1109,56,256,546,316,37,1109,23,9,39.1,9,39.1,693,3046,1806,47,30,13,20,6,735,88,,Defender,Premier League
Karl Etta,CMR,Cádiz,19,2004,0.2,4,0,0,3,1,0,4,0,0,0,0,0,2,4,0,0,0,0,1,0,2,1,,Forward,La Liga
Jonny Evans,NIR,Manchester Utd,35,1988,15.5,1005,185,556,420,31,8,1005,7,4,57.1,2,28.6,567,2683,1441,7,5,0,5,3,625,1,,Defender,Premier League
Eberechi Eze,ENG,Crystal Palace,25,1998,22.8,1274,11,121,522,658,103,1273,140,69,49.3,64,45.7,789,4822,2098,68,61,43,77,48,887,139,Forward,Midfielder,Premier League
Abdessamad Ezzalzouli,MAR,Barcelona,21,2001,0.8,54,0,2,13,39,7,54,4,2,50.0,2,50.0,41,302,143,7,3,4,4,2,43,12,Midfielder,Forward,La Liga
Abdessamad Ezzalzouli,MAR,Betis,21,2001,9.6,518,7,58,194,271,60,517,50,21,42.0,23,46.0,300,2801,1587,57,34,35,29,31,377,89,,Forward,La Liga
Giovanni Fabbian,ITA,Bologna,20,2003,11.7,425,9,78,208,144,47,425,24,12,50.0,11,45.8,209,1275,491,11,10,5,22,13,290,41,Forward,Midfielder,Serie A
Łukasz Fabiański,POL,West Ham,38,1985,8.0,260,222,255,5,0,0,260,0,0,0,0,0,140,822,585,0,0,0,0,0,94,0,,Goalkeeper,Premier League
Nicolò Fagioli,ITA,Juventus,22,2001,4.9,263,3,38,143,84,5,263,7,3,42.9,2,28.6,167,775,326,8,6,1,10,4,191,15,,Midfielder,Serie A
Romain Faivre,FRA,Bournemouth,25,1998,0.5,37,1,3,15,19,3,37,7,2,28.6,3,42.9,24,215,121,4,4,0,3,1,31,4,Forward,Midfielder,Premier League
Romain Faivre,FRA,Lorient,25,1998,16.1,798,10,117,365,335,40,798,93,44,47.3,43,46.2,657,5115,2142,68,48,11,37,17,599,78,Forward,Midfielder,Ligue 1
Ilhan Fakili,FRA,Clermont Foot,17,2006,1.0,45,0,3,19,23,4,45,6,1,16.7,5,83.3,33,181,73,2,1,2,5,2,35,7,Forward,Midfielder,Ligue 1
Radamel Falcao,COL,Rayo Vallecano,37,1986,4.5,169,4,13,67,91,23,168,8,3,37.5,4,50.0,97,429,171,7,4,5,13,12,132,23,Defender,Forward,La Liga
Wladimiro Falcone,ITA,Lecce,28,1995,38.0,1250,1113,1246,4,0,0,1250,0,0,0,0,0,708,4067,2547,0,1,1,1,0,568,0,,Goalkeeper,Serie A
Fali,ESP,Cádiz,29,1993,28.3,1307,191,647,615,52,18,1307,5,3,60.0,1,20.0,643,3354,2047,16,8,0,6,2,696,10,,Defender,La Liga
Davide Faraoni,ITA,Hellas Verona,31,1991,6.7,386,20,94,194,102,12,386,7,3,42.9,4,57.1,190,782,400,13,8,1,14,2,211,31,,Defender,Serie A
Davide Faraoni,ITA,Fiorentina,31,1991,4.4,298,15,72,153,73,4,298,4,1,25.0,3,75.0,159,842,408,7,1,1,4,2,176,16,,Defender,Serie A
Ansu Fati,ESP,Brighton,20,2002,5.8,300,4,27,141,135,43,300,18,5,27.8,9,50.0,212,1025,451,16,5,9,15,10,238,50,Forward,Midfielder,Premier League
Ansu Fati,ESP,Barcelona,20,2002,0.6,42,0,1,16,25,5,42,3,1,33.3,1,33.3,32,266,157,6,4,2,1,1,35,5,Forward,Midfielder,La Liga
Khalil Fayad,FRA,Montpellier,19,2004,11.4,473,12,95,242,139,24,473,23,10,43.5,11,47.8,338,1944,832,18,14,4,15,14,307,47,Midfielder,Forward,Ligue 1
Federico Fazio,ARG,Salernitana,36,1987,15.1,773,134,403,346,27,17,773,2,2,100.0,0,0.0,325,1521,825,2,0,0,8,3,370,2,,Defender,Serie A
Jacopo Fazzini,ITA,Empoli,20,2003,13.7,714,24,160,324,242,36,714,41,20,48.8,17,41.5,364,2063,939,24,19,7,32,21,382,51,,Midfielder,Serie A
Nabil Fekir,FRA,Betis,30,1993,11.7,749,4,48,361,351,54,749,34,21,61.8,6,17.6,449,2232,1113,32,28,7,43,23,584,77,Forward,Midfielder,La Liga
Felipe,BRA,Nott'ham Forest,34,1989,4.2,257,22,133,116,9,4,257,2,1,50.0,1,50.0,147,692,361,1,1,0,3,1,156,0,,Defender,Premier League
Luiz Felipe,ITA,Betis,26,1997,4.0,209,36,134,73,4,3,209,0,0,0,0,0,106,499,145,0,0,0,1,0,129,0,,Defender,La Liga
João Félix,POR,Barcelona,23,1999,17.1,929,15,91,351,495,104,929,89,29,32.6,51,57.3,613,3648,1930,69,53,31,43,32,766,169,,Forward,La Liga
Ohis Felix Uduokhai,GER,Augsburg,25,1997,32.5,2036,299,1027,916,103,53,2036,7,6,85.7,1,14.3,1077,5100,2608,25,11,1,17,7,1202,6,,Defender,Bundesliga
Kiko Femenía,ESP,Villarreal,32,1991,17.6,1275,62,460,604,228,9,1275,11,6,54.5,5,45.5,627,3750,2073,46,27,1,18,5,743,45,,Defender,La Liga
Evan Ferguson,IRL,Brighton,18,2004,15.2,448,13,64,204,185,45,448,16,7,43.8,6,37.5,286,1299,414,13,9,5,40,31,336,62,,Forward,Premier League
Lewis Ferguson,SCO,Bologna,23,1999,30.1,2043,54,317,1178,561,82,2043,34,14,41.2,15,44.1,1213,5803,2570,57,45,13,22,22,1646,138,,Midfielder,Serie A
Bruno Fernandes,POR,Manchester Utd,28,1994,34.6,2585,96,414,1069,1126,105,2580,44,19,43.2,21,47.7,1367,6155,3408,86,61,23,48,35,1715,182,Forward,Midfielder,Premier League
Edimilson Fernandes,SUI,Mainz 05,27,1996,14.3,951,98,403,418,138,4,951,8,6,75.0,2,25.0,483,2609,1467,9,12,1,6,5,532,9,,Defender,Bundesliga
Aitor Fernández,ESP,Osasuna,32,1991,6.1,216,156,207,9,1,1,216,0,0,0,0,0,112,636,426,0,0,0,0,0,95,0,,Goalkeeper,La Liga
Álex Fernández,ESP,Cádiz,30,1992,14.3,775,52,212,405,163,8,775,7,4,57.1,2,28.6,384,1736,783,11,20,1,9,12,463,26,,Midfielder,La Liga
Carlos Fernández,ESP,Real Sociedad,27,1996,4.5,142,6,16,79,49,14,141,10,3,30.0,7,70.0,64,315,100,5,3,0,13,14,85,13,,Forward,La Liga
Enzo Fernández,ARG,Chelsea,22,2001,24.5,2128,67,442,1209,488,47,2126,44,23,52.3,17,38.6,1315,6080,3109,52,46,8,29,24,1675,54,,Midfielder,Premier League
Raúl Fernández,ESP,Granada,35,1988,3.1,115,90,115,0,0,0,115,0,0,0,0,0,58,357,205,0,0,0,0,0,47,0,,Goalkeeper,La Liga
Valery Fernández,ESP,Girona,23,1999,5.6,285,12,60,108,120,23,285,19,7,36.8,6,31.6,182,1299,590,20,10,7,15,8,204,54,Forward,Midfielder,La Liga
Fernando,ESP,Almería,33,1990,4.0,169,138,167,2,0,0,169,0,0,0,0,0,93,536,339,0,0,0,0,0,74,0,,Goalkeeper,La Liga
Fernando,BRA,Sevilla,36,1987,5.1,288,10,74,169,49,5,288,6,4,66.7,1,16.7,168,878,429,5,8,1,5,3,186,7,,Midfielder,La Liga
Ichem Ferrah,FRA,Lille,17,2005,0.0,3,0,0,2,1,0,3,0,0,0,0,0,2,7,0,0,0,0,1,0,2,2,,Forward,Ligue 1
Andrea Ferraris,ITA,Monza,20,2003,0.1,5,0,1,2,2,0,5,0,0,0,0,0,3,11,9,0,0,0,0,0,3,0,,Midfielder,Serie A
André Ferreira,POR,Granada,27,1996,14.9,542,473,541,1,0,0,542,0,0,0,0,0,271,1478,829,0,0,0,2,1,192,0,,Goalkeeper,La Liga
João Ferreira,POR,Udinese,22,2001,20.2,1107,122,501,475,146,11,1107,33,18,54.5,12,36.4,515,2764,1488,19,21,4,22,8,533,45,,Defender,Serie A
Jordan Ferri,FRA,Montpellier,31,1992,22.6,1525,51,347,877,320,18,1525,36,17,47.2,19,52.8,1231,6540,2900,37,43,5,45,33,1132,68,,Midfielder,Ligue 1
Nacho Ferri,ESP,Eint Frankfurt,18,2004,0.8,45,2,5,21,19,6,45,1,0,0.0,1,100.0,23,93,19,0,0,0,6,2,32,8,Midfielder,Forward,Bundesliga
Rachad Fettal,MAR,Almería,18,2005,0.2,9,0,1,6,2,1,9,0,0,0,0,0,4,3,2,0,0,0,1,0,6,2,,Forward,La Liga
Seydou Fini,ITA,Genoa,17,2006,0.4,19,0,1,6,12,1,19,1,0,0.0,1,100.0,11,64,23,1,2,0,1,1,13,2,Forward,Defender,Serie A
Max Finkgräfe,GER,Köln,19,2004,19.5,1121,53,333,510,308,24,1121,58,36,62.1,21,36.2,495,3461,1845,51,35,11,37,24,527,59,Forward,Defender,Bundesliga
Vincenzo Fiorillo,ITA,Salernitana,33,1990,4.0,141,131,139,2,0,0,141,0,0,0,0,0,57,290,176,0,0,0,0,0,39,0,,Goalkeeper,Serie A
Kilian Fischer,GER,Wolfsburg,22,2000,3.2,185,9,60,71,55,8,185,2,1,50.0,1,50.0,72,399,179,6,3,1,5,1,93,9,Midfielder,Defender,Bundesliga
John Fleck,SCO,Sheffield Utd,31,1991,1.0,49,3,10,29,11,1,49,1,0,0.0,0,0.0,19,81,39,2,1,0,2,0,27,0,Defender,Midfielder,Premier League
Mark Flekken,NED,Brentford,30,1993,36.5,1658,1268,1584,74,0,0,1658,4,3,75.0,1,25.0,930,5167,2908,0,0,0,0,0,810,0,,Goalkeeper,Premier League
Alessandro Florenzi,ITA,Milan,32,1991,19.2,1449,62,403,699,354,19,1449,13,1,7.7,11,84.6,816,4084,2195,29,28,1,17,5,916,50,,Defender,Serie A
Phil Foden,ENG,Manchester City,23,2000,31.7,2146,22,174,785,1211,190,2146,102,47,46.1,46,45.1,1435,6921,3434,93,79,56,62,49,1753,269,Midfielder,Forward,Premier League
Wes Foderingham,ENG,Sheffield Utd,32,1991,29.4,1154,943,1136,20,0,0,1154,2,2,100.0,0,0.0,574,3483,2223,0,0,0,1,1,388,0,,Goalkeeper,Premier League
Malick Fofana,BEL,Lyon,18,2005,6.2,244,7,37,84,133,21,244,15,8,53.3,7,46.7,210,1566,836,26,18,10,16,11,197,60,,Forward,Ligue 1
Youssouf Fofana,FRA,Monaco,24,1999,30.0,2113,66,357,1329,458,49,2113,67,39,58.2,26,38.8,1614,9082,4247,53,83,8,49,33,1465,86,,Midfielder,Ligue 1
Jonas Föhrenbach,GER,Heidenheim,27,1996,31.0,1714,114,642,733,355,21,1714,27,8,29.6,16,59.3,777,4085,2496,44,32,2,22,11,860,69,,Defender,Bundesliga
Thomas Foket,BEL,Reims,28,1994,20.4,1250,78,374,569,314,19,1250,12,7,58.3,5,41.7,796,4095,1848,24,24,1,27,10,730,84,,Defender,Ligue 1
Michael Folorunsho,ITA,Hellas Verona,25,1998,30.9,1200,63,233,606,384,57,1200,70,22,31.4,42,60.0,662,3947,1714,56,41,8,62,38,730,110,Forward,Midfielder,Serie A
Tiago Fonseca Morais,POR,Lille,19,2003,0.5,23,0,2,14,8,2,23,3,0,0.0,3,100.0,17,100,49,3,0,1,1,0,13,2,,Forward,Ligue 1
Pablo Fornals,ESP,West Ham,27,1996,4.7,277,7,53,128,98,20,277,12,6,50.0,5,41.7,156,645,256,4,7,2,8,8,176,27,Forward,Midfielder,Premier League
Pablo Fornals,ESP,Betis,27,1996,12.8,811,10,103,423,295,40,811,26,11,42.3,14,53.8,420,2044,1160,37,23,13,25,13,571,82,Midfielder,Forward,La Liga
Emil Forsberg,SWE,RB Leipzig,31,1991,5.2,261,7,25,132,105,19,260,9,3,33.3,4,44.4,173,801,290,8,3,4,12,7,196,38,Forward,Midfielder,Bundesliga
Omari Forson,ENG,Manchester Utd,19,2004,0.8,39,0,2,25,12,1,39,2,1,50.0,1,50.0,29,115,34,1,3,0,1,0,31,2,,Forward,Premier League
Philipp Förster,GER,Bochum,28,1995,4.3,250,2,24,114,114,9,250,4,1,25.0,1,25.0,125,660,276,7,10,1,9,7,149,19,Forward,Midfielder,Bundesliga
Héctor Fort,ESP,Barcelona,16,2006,3.5,250,10,72,118,60,3,250,7,3,42.9,4,57.1,144,572,197,3,3,0,1,2,174,38,,Defender,La Liga
Lyle Foster,RSA,Burnley,22,2000,21.1,692,41,93,289,321,93,692,39,19,48.7,18,46.2,380,2464,1278,55,31,36,69,33,479,104,Midfielder,Forward,Premier League
Dimitri Foulquier,FRA,Valencia,30,1993,20.5,1258,47,423,558,290,18,1258,45,22,48.9,16,35.6,577,3158,1668,42,32,6,34,16,659,64,Midfielder,Defender,La Liga
Juan Foyth,ARG,Villarreal,25,1998,11.8,827,69,270,389,175,16,827,27,20,74.1,6,22.2,426,2278,1192,19,28,3,17,7,494,28,,Defender,La Liga
Matheus França,BRA,Crystal Palace,19,2004,2.6,119,3,31,45,51,9,119,14,4,28.6,9,64.3,81,722,372,12,11,5,4,7,73,12,Forward,Midfielder,Premier League
Bartol Franjić,CRO,Darmstadt 98,23,2000,13.7,689,44,214,410,72,7,689,13,7,53.8,6,46.2,327,1782,841,13,8,1,13,8,418,14,,Midfielder,Bundesliga
Przemysław Frankowski,POL,Lens,28,1995,24.4,1584,49,299,646,647,55,1582,30,12,40.0,18,60.0,1056,5787,2415,56,42,6,36,15,997,210,,Defender,Ligue 1
Nathan Fraser,IRL,Wolves,18,2005,2.1,62,4,10,28,25,5,62,0,0,0,0,0,32,88,22,1,1,1,4,2,39,21,,Forward,Premier League
Davide Frattesi,ITA,Inter,23,1999,10.6,428,28,96,194,140,56,428,21,7,33.3,13,61.9,250,1689,781,27,17,10,17,16,301,40,,Midfielder,Serie A
Jean Frederic N'Guessan,CIV,Metz,20,2003,1.2,59,1,4,42,15,1,59,4,3,75.0,0,0.0,42,232,88,1,2,0,1,2,36,2,Forward,Midfielder,Ligue 1
Morten Frendrup,DEN,Genoa,22,2001,34.9,1651,70,404,922,345,36,1651,25,16,64.0,8,32.0,762,3773,1611,36,20,4,55,14,870,69,,Midfielder,Serie A
Remo Freuler,SUI,Bologna,31,1992,29.2,2178,81,525,1304,361,33,2178,12,8,66.7,3,25.0,1177,5516,2531,37,28,5,27,16,1564,48,,Midfielder,Serie A
Marco Friedl,AUT,Werder Bremen,25,1998,24.4,1379,234,824,541,34,4,1379,6,5,83.3,1,16.7,751,3710,1801,4,6,0,13,5,786,2,,Defender,Bundesliga
Marvin Friedrich,GER,Gladbach,27,1995,17.4,1089,158,670,375,47,17,1089,3,2,66.7,1,33.3,652,2780,1267,2,7,1,10,1,725,4,,Defender,Bundesliga
Jeremie Frimpong,NED,Leverkusen,22,2000,25.0,1329,19,158,406,784,205,1329,106,48,45.3,48,45.3,824,6275,3756,153,62,73,51,37,941,348,,Defender,Bundesliga
Jorge de Frutos,ESP,Rayo Vallecano,26,1997,17.2,668,17,97,258,333,49,668,49,15,30.6,25,51.0,380,2508,1383,42,29,12,33,15,450,144,Midfielder,Forward,La Liga
Chris Führich,GER,Stuttgart,25,1998,28.5,1667,8,117,628,948,124,1666,153,73,47.7,68,44.4,1070,8503,4459,153,106,56,53,27,1267,259,Midfielder,Forward,Bundesliga
Shiō Fukuda,JPN,Gladbach,19,2004,0.4,15,0,2,4,9,5,15,1,1,100.0,0,0.0,8,41,4,0,0,0,1,3,9,2,Midfielder,Forward,Bundesliga
Angelo Fulgini,FRA,Lens,26,1996,15.3,996,19,97,439,471,48,996,42,18,42.9,22,52.4,692,3650,1415,35,42,7,33,36,667,117,,Midfielder,Ligue 1
Niclas Füllkrug,GER,Werder Bremen,30,1993,2.0,85,2,7,44,34,5,85,1,0,0.0,1,100.0,45,154,71,2,1,0,4,1,70,12,,Forward,Bundesliga
Niclas Füllkrug,GER,Dortmund,30,1993,24.6,782,31,71,353,360,105,779,20,5,25.0,10,50.0,409,1511,560,17,16,11,50,23,620,119,,Forward,Bundesliga
Gerardo Fusco,ITA,Salernitana,18,2005,0.2,9,0,0,6,3,1,9,1,0,0.0,1,100.0,3,18,0,0,0,0,0,0,7,1,,Forward,Serie A
Daniel Fuzato,BRA,Getafe,26,1997,0.1,11,10,11,0,0,0,11,0,0,0,0,0,4,20,19,0,0,0,0,0,4,0,,Goalkeeper,La Liga
Matteo Gabbia,ITA,Milan,23,1999,14.2,1035,116,518,482,40,21,1035,2,2,100.0,0,0.0,611,3097,1627,11,4,0,5,2,719,2,,Defender,Serie A
Matteo Gabbia,ITA,Villarreal,23,1999,5.3,369,56,201,159,9,2,369,0,0,0,0,0,205,963,555,1,1,0,4,0,244,0,,Defender,La Liga
Gianluca Gaetano,ITA,Cagliari,23,2000,8.3,328,5,22,162,154,19,327,30,10,33.3,14,46.7,179,1122,473,17,14,6,17,15,214,42,Midfielder,Forward,Serie A
Gianluca Gaetano,ITA,Napoli,23,2000,1.8,118,4,12,68,41,5,118,5,1,20.0,4,80.0,58,295,155,6,1,1,5,3,76,5,,Midfielder,Serie A
Roberto Gagliardini,ITA,Monza,29,1994,26.2,1761,94,439,1034,310,42,1761,17,8,47.1,7,41.2,1045,5931,2950,38,36,2,28,14,1222,36,Defender,Midfielder,Serie A
Cody Gakpo,NED,Liverpool,24,1999,18.3,809,15,77,335,412,107,809,54,31,57.4,17,31.5,549,3003,1472,43,31,13,44,32,618,130,Midfielder,Forward,Premier League
Javi Galán,ESP,Atlético Madrid,28,1994,1.0,78,0,17,19,43,3,78,4,2,50.0,0,0.0,52,289,146,3,1,0,5,3,48,13,,Defender,La Liga
Javi Galán,ESP,Real Sociedad,28,1994,11.9,809,18,185,383,253,13,809,44,18,40.9,19,43.2,427,2661,1593,46,17,5,16,11,473,70,,Defender,La Liga
Iñigo Ruiz de Galarreta,ESP,Athletic Club,29,1993,23.2,1407,30,194,883,345,7,1407,33,22,66.7,8,24.2,782,3740,1637,26,29,1,24,29,948,36,,Midfielder,La Liga
Pablo Galdames Millán,CHI,Genoa,26,1996,0.1,26,0,1,19,6,1,26,0,0,0,0,0,9,47,24,0,0,0,1,0,16,1,Defender,Midfielder,Serie A
Conor Gallagher,ENG,Chelsea,23,2000,34.8,2443,77,468,1221,793,79,2443,65,38,58.5,18,27.7,1453,7243,2979,62,54,14,69,39,1739,122,,Midfielder,Premier League
Antonino Gallo,ITA,Lecce,23,2000,27.7,1656,84,567,719,395,22,1656,42,19,45.2,20,47.6,804,4815,2858,69,53,12,27,13,848,101,,Defender,Serie A
Cristian Gamboa,CRC,Bochum,33,1989,13.2,603,38,189,305,117,1,603,12,5,41.7,4,33.3,276,1235,527,12,11,0,11,3,282,16,,Defender,Bundesliga
Kévin Gameiro,FRA,Strasbourg,36,1987,15.0,571,5,51,272,256,46,569,13,7,53.8,5,38.5,448,2487,909,26,25,10,25,15,428,81,Midfielder,Forward,Ligue 1
Idrissa Gana Gueye,SEN,Everton,33,1989,20.9,1126,59,280,608,252,21,1126,25,11,44.0,11,44.0,592,2976,1431,29,26,2,17,20,670,41,,Midfielder,Premier League
Ignatius Ganago,CMR,Nantes,24,1999,2.0,77,1,4,24,51,10,77,1,0,0.0,1,100.0,64,438,109,7,2,3,4,3,62,26,Midfielder,Forward,Ligue 1
Aleix García,ESP,Girona,26,1997,35.5,3220,149,780,1809,651,18,3220,24,15,62.5,6,25.0,1923,9334,4604,58,44,3,26,15,2403,52,,Midfielder,La Liga
Álvaro García,ESP,Rayo Vallecano,30,1992,27.5,1102,33,196,354,567,101,1102,25,10,40.0,14,56.0,547,2790,1229,56,21,22,54,11,696,252,Midfielder,Forward,La Liga
Dani García,ESP,Athletic Club,33,1990,8.3,398,21,81,258,64,7,398,3,3,100.0,0,0.0,176,711,287,3,6,0,4,2,228,4,,Midfielder,La Liga
David García,ESP,Osasuna,29,1994,25.9,1585,166,665,863,64,24,1585,4,3,75.0,1,25.0,796,4308,2698,21,12,0,9,2,914,4,,Defender,La Liga
Eric García,ESP,Barcelona,22,2001,0.6,53,2,18,33,2,1,53,0,0,0,0,0,34,171,114,0,0,0,0,0,37,0,,Defender,La Liga
Eric García,ESP,Girona,22,2001,29.3,2567,180,972,1378,227,23,2567,9,4,44.4,4,44.4,1604,7491,4670,45,34,1,17,9,1900,18,,Defender,La Liga
Fran Garcia,ESP,Real Madrid,23,1999,15.5,1148,39,309,464,385,23,1148,18,8,44.4,9,50.0,686,3666,1956,53,30,4,22,8,747,139,,Defender,La Liga
Francisco Jesús Crespo García,ESP,Las Palmas,27,1996,5.6,321,3,29,124,170,15,321,34,15,44.1,18,52.9,204,1363,511,17,15,4,17,13,241,66,,Forward,La Liga
Gonzalo García,ESP,Real Madrid,19,2004,0.2,11,0,2,4,5,1,11,1,0,0.0,1,100.0,8,56,20,1,1,1,0,0,7,3,Midfielder,Forward,La Liga
Jastin García,ESP,Girona,19,2004,0.4,18,0,1,6,11,2,18,2,1,50.0,1,50.0,13,76,48,2,0,1,3,0,15,8,,Forward,La Liga
Raúl García,ESP,Athletic Club,37,1986,4.7,202,10,28,96,80,22,202,5,2,40.0,3,60.0,95,390,124,4,7,2,9,5,146,15,Midfielder,Forward,La Liga
Rubén García,ESP,Osasuna,30,1993,17.2,951,19,125,365,466,40,951,31,18,58.1,9,29.0,473,2042,730,16,26,4,31,23,647,117,Midfielder,Forward,La Liga
Ulisses Garcia,SUI,Marseille,27,1996,10.1,658,21,140,309,215,8,658,18,10,55.6,6,33.3,423,2330,1157,21,18,2,9,14,394,66,,Defender,Ligue 1
Unai García,ESP,Osasuna,31,1992,6.2,259,26,121,124,16,7,259,1,0,0.0,1,100.0,104,379,183,2,2,0,3,3,136,1,,Defender,La Liga
Alejandro Garnacho,ARG,Manchester Utd,19,2004,28.5,1312,13,180,403,741,248,1312,131,48,36.6,63,48.1,938,8015,4211,178,83,102,69,49,1006,281,,Forward,Premier League
James Garner,ENG,Everton,22,2001,33.4,1610,83,307,776,549,41,1610,41,19,46.3,16,39.0,736,3856,1657,36,37,5,33,10,857,76,,Midfielder,Premier League
Luca Garritano,ITA,Frosinone,29,1994,5.4,283,13,75,119,91,12,283,5,0,0.0,5,100.0,141,736,310,6,2,1,8,2,173,23,Defender,Midfielder,Serie A
Johan Gastien,FRA,Clermont Foot,35,1988,25.1,1918,70,475,1199,257,9,1918,25,8,32.0,14,56.0,1458,6939,2842,21,27,0,29,9,1353,21,,Midfielder,Ligue 1
Federico Gatti,ITA,Juventus,25,1998,29.3,1640,122,504,950,201,47,1640,22,9,40.9,10,45.5,963,5225,3233,52,31,1,24,12,1115,43,,Defender,Serie A
Federico Gattoni,ARG,Sevilla,24,1999,0.1,11,1,6,5,0,0,11,0,0,0,0,0,3,15,12,0,0,0,0,0,3,0,Forward,Defender,La Liga
Gavi,ESP,Barcelona,18,2004,10.5,678,27,108,394,181,18,678,22,12,54.5,8,36.4,424,2231,1170,26,24,3,19,11,479,38,Forward,Midfielder,La Liga
Paulo Gazzaniga,ARG,Girona,31,1992,38.0,1473,1247,1463,10,0,0,1473,6,6,100.0,0,0.0,897,3989,2406,0,0,0,2,1,794,0,,Goalkeeper,La Liga
Yann Gboho,FRA,Toulouse,22,2001,13.3,473,6,48,183,261,68,473,63,30,47.6,29,46.0,369,2966,1626,65,42,27,39,28,351,97,Forward,Midfielder,Ligue 1
Dennis Geiger,GER,Hoffenheim,25,1998,0.7,17,2,8,6,3,1,17,0,0,0,0,0,9,49,19,1,0,0,1,0,10,2,,Midfielder,Bundesliga
Gelabert,ESP,Toulouse,22,2000,8.4,456,14,77,231,156,32,456,29,13,44.8,15,51.7,353,1876,691,14,17,11,23,12,336,57,Forward,Midfielder,Ligue 1
Francesco Gelli,ITA,Frosinone,26,1996,17.3,914,32,181,426,319,24,914,42,13,31.0,20,47.6,508,2902,1400,42,25,10,34,14,586,87,Defender,Midfielder,Serie A
Luca Gemello,ITA,Torino,23,2000,2.0,122,78,120,2,0,0,122,0,0,0,0,0,87,509,405,0,0,0,0,0,87,0,,Goalkeeper,Serie A
Valentin Gendrey,FRA,Lecce,23,2000,33.8,1728,123,586,808,353,45,1728,34,16,47.1,11,32.4,807,4816,2894,76,32,6,38,20,849,86,,Defender,Serie A
Denis Genreau,AUS,Toulouse,24,1999,5.2,273,9,67,135,76,9,273,12,4,33.3,7,58.3,184,1019,329,6,5,2,11,4,153,27,Forward,Midfielder,Ligue 1
Yannick Gerhardt,GER,Wolfsburg,29,1994,18.1,904,34,187,474,247,41,904,4,0,0.0,3,75.0,453,1814,856,17,14,4,13,9,575,73,Defender,Midfielder,Bundesliga
Anwar El Ghazi,NED,Mainz 05,28,1995,0.6,30,0,2,11,18,3,30,4,2,50.0,2,50.0,22,150,85,2,2,0,3,0,26,5,Defender,Midfielder,Bundesliga
Farés Ghedjemis,FRA,Frosinone,20,2002,2.0,84,2,14,29,44,11,84,7,2,28.6,5,71.4,47,360,119,7,2,5,5,2,59,19,Midfielder,Forward,Serie A
Saman Ghoddos,IRN,Brentford,29,1993,8.2,542,12,139,223,184,10,542,13,3,23.1,8,61.5,282,1389,717,22,12,2,10,4,313,31,,Defender,Premier League
Lautaro Gianetti,ARG,Udinese,29,1993,7.0,383,72,227,147,9,5,383,1,1,100.0,0,0.0,195,720,262,2,1,0,2,0,215,0,,Defender,Serie A
Morgan Gibbs-White,ENG,Nott'ham Forest,23,2000,35.1,1876,28,217,893,801,103,1875,115,44,38.3,55,47.8,1033,5636,2889,80,62,15,78,44,1234,181,Forward,Midfielder,Premier League
