Player,Nation,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Position_2,Position,League
Emmanuel Agbadou,CIV,Reims,26,1997,28.8,2198,237,820,1233,165,32,2198,31,15,48.4,16,51.6,1582,10223,5460,42,26,2,24,23,1405,19,,Defender,Ligue 1
Julen Agirrezabala,ESP,Athletic Club,22,2000,2.6,104,84,104,0,0,0,104,0,0,0,0,0,58,348,192,0,0,0,0,0,42,0,,Goalkeeper,La Liga
Lucien Agoume,FRA,Inter,21,2002,0.1,6,0,1,4,1,0,6,1,0,0.0,1,100.0,2,7,5,0,1,0,0,0,4,0,,Midfielder,Serie A
Lucien Agoume,FRA,Sevilla,21,2002,8.6,430,17,108,245,83,12,430,8,7,87.5,1,12.5,221,1218,590,7,3,2,4,4,273,9,,Midfielder,La Liga
Felix Agu,GER,Werder Bremen,23,1999,17.9,886,61,302,363,229,24,886,35,14,40.0,17,48.6,460,2297,1223,32,16,7,32,10,495,90,Midfielder,Defender,Bundesliga
Nayef Aguerd,MAR,West Ham,27,1996,20.6,1373,187,709,618,50,21,1373,5,3,60.0,2,40.0,861,4211,2388,10,8,0,10,2,912,3,,Defender,Premier League
Ruben Aguilar,FRA,Lens,30,1993,21.4,1533,64,326,699,518,38,1533,20,6,30.0,12,60.0,1039,5334,2333,36,37,2,31,10,970,162,,Defender,Ligue 1
Brandon Aguilera,CRC,Nott'ham Forest,20,2003,0.1,11,1,3,4,4,0,11,0,0,0,0,0,4,16,12,0,1,0,0,0,6,1,,Forward,Premier League
Naouirou Ahamada,FRA,Crystal Palace,21,2002,3.9,240,6,46,123,75,8,240,13,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20,Forward,Midfielder,Premier League
Anel Ahmedhodžić,BIH,Sheffield Utd,24,1999,29.4,1331,228,730,508,104,33,1331,21,11,52.4,9,42.9,603,3497,1946,15,15,3,14,11,693,21,,Defender,Premier League
Joseph Aidoo,GHA,Celta Vigo,27,1995,4.5,240,34,132,107,6,2,240,2,2,100.0,0,0.0,133,630,322,2,0,0,1,2,137,0,,Defender,La Liga
Ola Aina,NGA,Nott'ham Forest,26,1996,18.8,1019,62,340,462,228,13,1019,45,27,60.0,14,31.1,494,3139,1830,53,29,11,24,10,539,38,,Defender,Premier League
Rayan Aït-Nouri,ALG,Wolves,22,2001,25.9,1522,56,406,698,446,49,1522,115,62,53.9,39,33.9,868,4904,2435,67,48,8,51,56,1007,99,Midfielder,Defender,Premier League
Tosin Aiyegun,BEN,Lorient,25,1998,10.0,291,10,54,120,123,21,291,26,12,46.2,13,50.0,227,1660,686,17,10,6,18,13,218,52,Forward,Midfielder,Ligue 1
Kristoffer Ajer,NOR,Brentford,25,1998,20.4,1042,112,430,457,158,58,1042,12,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31,,Defender,Premier League
Ludovic Ajorque,FRA,Mainz 05,29,1994,15.1,603,12,53,314,238,85,601,11,2,18.2,8,72.7,260,904,291,5,6,1,42,10,450,88,,Forward,Bundesliga
Manuel Akanji,SUI,Manchester City,28,1995,27.9,2544,163,779,1385,392,27,2544,4,2,50.0,2,50.0,1639,8282,4923,46,51,3,14,9,1983,36,Midfielder,Defender,Premier League
Marley Aké,FRA,Udinese,22,2001,0.1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,,Forward,Serie A
Nathan Aké,NED,Manchester City,28,1995,22.7,2026,105,634,1116,281,38,2026,10,5,50.0,3,30.0,1280,6039,3501,24,43,1,8,2,1507,18,,Defender,Premier League
Ilias Akhomach,MAR,Villarreal,19,2004,16.8,745,12,89,271,403,70,745,128,57,44.5,59,46.1,491,3523,2006,68,47,27,49,36,551,160,Forward,Midfielder,La Liga
Sergio Akieme,ESP,Almería,25,1997,18.6,959,54,338,420,216,20,959,40,21,52.5,18,45.0,498,2520,1141,27,23,2,15,16,525,72,,Defender,La Liga
Sergio Akieme,ESP,Reims,25,1997,9.1,443,36,135,195,119,11,443,18,8,44.4,9,50.0,259,1562,742,20,12,3,12,8,239,34,,Defender,Ligue 1
Ebenezer Akinsanmiro,NGA,Inter,18,2004,0.2,9,0,3,6,1,0,9,0,0,0,0,0,9,83,11,0,1,0,1,1,10,0,,Midfielder,Serie A
Maghnes Akliouche,FRA,Monaco,21,2002,17.9,1055,10,101,457,513,79,1055,52,27,51.9,22,42.3,815,4602,1866,46,45,14,41,40,756,135,Forward,Midfielder,Ligue 1
Paul Akouokou,CIV,Betis,25,1997,0.3,26,2,10,14,3,0,26,0,0,0,0,0,11,42,8,0,0,0,0,0,15,0,,Midfielder,La Liga
Paul Akouokou,CIV,Lyon,25,1997,3.4,231,16,52,142,37,1,231,4,3,75.0,0,0.0,168,633,179,0,4,0,4,1,149,2,,Midfielder,Ligue 1
Jean-Daniel Akpa-Akpro,CIV,Monza,30,1992,7.8,348,22,111,187,58,5,348,10,3,30.0,3,30.0,189,1226,591,11,9,1,13,7,215,12,,Midfielder,Serie A
David Akpan Ankeye,NGA,Genoa,21,2002,0.6,17,0,2,6,10,1,17,5,2,40.0,3,60.0,12,109,61,3,1,1,2,0,10,2,,Forward,Serie A
Kevin Akpoguma,NGA,Hoffenheim,28,1995,12.2,861,72,360,449,59,5,861,13,9,69.2,4,30.8,483,2251,1054,10,11,2,10,1,564,9,,Defender,Bundesliga
David Alaba,AUT,Real Madrid,31,1992,12.8,1004,127,474,457,80,11,1004,0,0,0,0,0,699,3567,2011,9,11,0,5,1,730,13,,Defender,La Liga
Luis Alberto,ESP,Lazio,30,1992,25.7,1904,23,231,1004,690,61,1904,45,25,55.6,16,35.6,1018,5303,3192,83,62,10,33,24,1383,124,,Midfielder,Serie A
Raúl Albiol,ESP,Villarreal,37,1985,22.6,1476,244,853,605,26,14,1476,0,0,0,0,0,811,4596,2552,8,1,0,10,3,1019,0,,Defender,La Liga
Thiago Alcántara,ESP,Liverpool,32,1991,0.1,10,0,4,5,1,0,10,0,0,0,0,0,9,33,15,0,0,0,0,0,9,0,,Midfielder,Premier League
Carlos Alcaraz,ARG,Juventus,20,2002,4.2,221,7,22,133,69,12,221,9,3,33.3,5,55.6,141,766,310,6,13,1,8,4,162,9,,Midfielder,Serie A
Rubén Alcaraz,ESP,Cádiz,32,1991,34.8,1970,91,470,1193,328,28,1968,23,10,43.5,11,47.8,997,4688,1909,27,27,3,28,27,1135,37,,Midfielder,La Liga
Omar Alderete,PAR,Getafe,26,1996,24.4,1316,132,591,667,73,32,1316,13,9,69.2,3,23.1,655,4060,2701,23,13,0,8,5,684,9,,Defender,La Liga
Iván Alejo,ESP,Cádiz,28,1995,18.8,701,27,139,241,335,21,701,61,24,39.3,31,50.8,401,2974,1399,48,41,1,54,28,418,104,,Midfielder,La Liga
Carles Aleñá,ESP,Getafe,25,1998,11.3,546,14,74,251,223,22,546,28,6,21.4,20,71.4,308,1315,402,12,14,5,25,18,366,45,,Midfielder,La Liga
Trent Alexander-Arnold,ENG,Liverpool,24,1998,23.9,2296,75,523,1217,582,34,2296,52,28,53.8,21,40.4,1250,5701,2724,45,48,7,27,6,1492,97,,Defender,Premier League
Aboubacar Ali,FRA,Strasbourg,17,2006,1.4,56,1,4,19,35,7,56,3,1,33.3,2,66.7,41,312,79,3,1,1,4,2,36,12,Forward,Midfielder,Ligue 1
Mohamed Ali Cho,FRA,Real Sociedad,19,2004,2.8,106,0,10,47,53,9,106,20,7,35.0,9,45.0,69,590,363,16,11,4,10,2,68,19,Midfielder,Forward,La Liga
Mohamed Ali Cho,FRA,Nice,19,2004,9.6,371,3,41,145,194,36,371,38,16,42.1,19,50.0,288,2206,1236,48,29,15,19,16,282,77,,Forward,Ligue 1
Faride Alidou,GER,Köln,22,2001,14.2,522,14,77,210,243,51,522,70,24,34.3,38,54.3,312,2561,1191,51,23,18,39,27,344,95,Midfielder,Forward,Bundesliga
Nabil Alioui,FRA,Le Havre,24,1999,11.2,485,6,50,224,221,33,485,38,15,39.5,21,55.3,340,1958,846,22,20,7,23,17,328,72,Forward,Midfielder,Ligue 1
Alisson,BRA,Liverpool,30,1992,28.0,1196,754,1145,52,0,0,1196,0,0,0,0,0,850,3713,2361,0,0,0,4,0,764,0,,Goalkeeper,Premier League
Tadeo Allende,ARG,Celta Vigo,24,1999,3.7,143,3,19,66,60,11,143,8,3,37.5,4,50.0,85,558,223,9,4,1,8,8,101,25,Forward,Midfielder,La Liga
